,open,high,low,close,volume
2015-05-15,59.26,59.65,56.79,57.47,3321666.0
2015-05-18,58.0,58.0,56.41,57.66,1315770.0
2015-05-19,57.71,58.73,57.47,58.0,1258667.0
2015-05-20,58.49,58.68,57.28,58.05,940935.0
2015-05-21,58.44,58.44,56.99,57.57,1605859.0
2015-05-22,58.0,58.49,57.03,57.18,1233990.0
2015-05-25,57.03,58.0,56.84,57.13,861036.0
2015-05-26,57.37,57.57,56.55,56.84,1098691.0
2015-05-27,56.36,60.08,56.31,59.45,2929937.0
2015-05-28,59.55,62.55,59.16,62.06,6016504.0
2015-05-29,61.97,62.55,60.9,61.68,1425128.0
2015-06-01,61.87,62.11,61.14,61.34,747279.0
2015-06-02,61.82,62.01,58.0,58.44,2394635.0
2015-06-03,58.49,59.4,55.1,58.1,2317652.0
2015-06-04,58.29,58.53,56.12,57.81,1587575.0
2015-06-05,57.52,58.29,56.16,57.42,1009456.0
2015-06-08,57.52,57.81,55.29,55.73,1188113.0
2015-06-09,55.87,56.79,55.54,56.26,1070205.0
2015-06-10,56.6,57.13,56.16,56.79,970816.0
2015-06-11,57.13,57.61,53.84,54.09,2315589.0
2015-06-12,53.55,55.29,53.22,54.86,1476839.0
2015-06-15,54.71,55.49,52.88,53.17,1742548.0
2015-06-16,53.17,55.1,52.59,53.99,1341356.0
2015-06-17,54.38,54.71,53.65,53.99,1325908.0
2015-06-18,54.28,54.81,54.04,54.28,1723906.0
2015-06-19,54.81,56.79,54.38,56.21,1917142.0
2015-06-22,56.84,58.58,56.55,58.05,2763592.0
2015-06-23,58.55,59.55,57.8,58.1,2925573.0
2015-06-24,57.85,58.3,55.6,55.85,2398577.0
2015-06-25,55.75,56.25,55.15,56.05,1801040.0
2015-06-26,55.85,56.1,54.7,55.4,2006516.0
2015-06-29,54.4,54.4,52.65,53.25,3047863.0
2015-06-30,53.1,53.6,52.6,53.05,2021888.0
2015-07-01,52.85,54.95,52.85,54.45,2349896.0
2015-07-02,54.7,54.95,53.1,53.25,2067391.0
2015-07-03,53.3,53.7,52.75,53.25,1782464.0
2015-07-06,52.7,54.5,52.1,54.3,2419499.0
2015-07-07,54.5,55.05,53.35,53.8,2801824.0
2015-07-08,53.25,53.85,52.4,52.95,2818973.0
2015-07-09,53.0,54.4,52.65,53.5,2743305.0
2015-07-10,53.8,54.25,53.5,53.95,1488794.0
2015-07-13,53.75,54.5,53.6,54.4,1723589.0
2015-07-14,54.85,55.6,54.6,54.8,2144888.0
2015-07-15,55.0,55.3,54.0,54.1,1201233.0
2015-07-16,54.35,54.65,54.15,54.4,865744.0
2015-07-17,54.6,55.6,54.25,55.1,1376433.0
2015-07-20,55.2,55.25,53.55,53.85,1346603.0
2015-07-21,53.95,54.2,52.4,52.6,1078305.0
2015-07-22,52.5,53.5,52.5,53.35,916038.0
2015-07-23,53.8,53.8,52.85,53.25,1205953.0
2015-07-24,53.05,53.55,52.6,52.8,898191.0
2015-07-27,52.9,52.9,50.1,50.35,2248877.0
2015-07-28,50.5,51.75,50.1,50.65,1639242.0
2015-07-29,50.5,51.2,48.3,48.7,2205464.0
2015-07-30,48.8,51.35,48.8,51.05,2076155.0
2015-07-31,51.3,53.4,50.85,52.7,2937373.0
2015-08-03,53.25,55.5,52.75,54.1,3268584.0
2015-08-04,54.4,55.25,53.45,55.0,3666641.0
2015-08-05,55.45,55.95,54.3,54.65,2864415.0
