,open,high,low,close,volume
2015-05-15,113.73,113.97,112.16,113.36,18873.0
2015-05-18,113.97,114.89,113.13,114.1,24082.0
2015-05-19,113.92,120.45,113.92,118.79,145580.0
2015-05-20,119.2,122.26,116.93,117.67,70223.0
2015-05-21,119.57,120.41,116.1,119.43,35614.0
2015-05-22,121.43,121.43,116.38,116.93,26844.0
2015-05-25,116.79,121.15,116.42,119.9,49192.0
2015-05-26,119.81,122.72,118.92,121.71,55682.0
2015-05-27,120.5,128.7,120.5,125.09,186690.0
2015-05-28,126.39,128.38,123.0,126.66,153338.0
2015-05-29,126.99,128.38,118.28,120.08,217174.0
2015-06-01,118.92,121.38,116.14,118.18,70393.0
2015-06-02,118.18,118.65,115.17,115.82,40772.0
2015-06-03,115.03,115.87,108.45,110.91,71060.0
2015-06-04,110.77,111.93,107.8,109.38,53522.0
2015-06-05,111.23,112.53,107.71,110.4,73604.0
2015-06-08,107.94,109.38,104.14,105.76,97144.0
2015-06-09,105.9,108.22,104.74,107.11,47662.0
2015-06-10,106.64,110.17,105.76,107.76,69550.0
2015-06-11,108.64,109.75,105.85,105.99,56146.0
2015-06-12,107.52,107.52,103.86,104.28,37254.0
2015-06-15,104.28,111.97,104.28,108.36,200602.0
2015-06-16,110.81,110.81,106.97,108.08,56091.0
2015-06-17,108.77,112.34,107.57,110.4,206173.0
2015-06-18,111.0,113.55,105.16,109.05,265962.0
2015-06-19,108.73,112.16,108.68,111.18,89113.0
2015-06-22,113.13,113.73,111.46,113.04,105487.0
2015-06-23,113.08,117.95,112.39,116.98,306063.0
2015-06-24,121.89,122.17,117.02,117.63,738353.0
2015-06-25,118.18,118.88,115.49,115.96,190227.0
2015-06-26,115.87,116.75,114.29,115.03,106051.0
2015-06-29,111.6,113.32,109.38,112.71,105005.0
2015-06-30,113.18,114.2,111.23,112.62,101392.0
2015-07-01,112.71,117.63,112.71,116.38,116937.0
2015-07-02,116.65,117.44,112.53,113.27,189184.0
2015-07-03,113.27,116.61,111.6,112.44,304551.0
2015-07-06,110.77,112.62,109.56,111.74,373293.0
2015-07-07,112.71,116.42,112.71,115.68,237935.0
2015-07-08,114.94,115.91,111.88,113.46,184526.0
