,open,high,low,close,volume
2015-05-15,2765.85,2799.44,2753.61,2768.02,165461.0
2015-05-18,2777.49,2866.29,2743.3,2861.46,269975.0
2015-05-19,2861.46,2945.23,2856.33,2931.81,639626.0
2015-05-20,2929.64,3010.3,2929.64,2991.85,631734.0
2015-05-21,2989.63,3068.41,2966.34,3023.77,706556.0
2015-05-22,3027.42,3045.87,2928.9,2935.75,303833.0
2015-05-25,2954.11,2958.99,2885.83,2895.89,160917.0
2015-05-26,2889.97,2912.67,2841.63,2868.12,271690.0
2015-05-27,2871.23,2874.19,2821.89,2846.71,335348.0
2015-05-28,2851.49,2909.06,2814.34,2878.58,335276.0
2015-05-29,2900.53,2956.97,2864.71,2935.66,415630.0
2015-06-01,2955.09,2983.71,2930.43,2965.35,199856.0
2015-06-02,2955.19,2974.78,2854.95,2871.47,190073.0
2015-06-03,2857.41,2875.17,2782.62,2793.38,135557.0
2015-06-04,2816.66,2841.38,2776.7,2829.83,113540.0
2015-06-05,2822.73,2865.7,2744.04,2768.86,218113.0
2015-06-08,2794.26,2795.55,2743.7,2772.41,110182.0
2015-06-09,2773.54,2808.08,2751.64,2772.9,147353.0
2015-06-10,2797.22,2807.04,2762.69,2767.18,172608.0
2015-06-11,2768.61,2790.27,2654.55,2665.65,264043.0
2015-06-12,2668.96,2730.72,2644.29,2711.88,178572.0
2015-06-15,2713.36,2714.74,2667.97,2674.68,137756.0
2015-06-16,2677.84,2714.34,2655.14,2708.18,94874.0
2015-06-17,2710.99,2784.99,2699.64,2759.29,259492.0
2015-06-18,2735.11,2790.32,2726.28,2761.41,233429.0
2015-06-19,2763.68,2779.46,2754.99,2765.4,252628.0
2015-06-22,2769.89,2806.6,2756.47,2766.64,130727.0
2015-06-23,2783.41,2870.09,2764.62,2857.31,332447.0
2015-06-24,2888.0,2930.33,2792.29,2814.34,483905.0
2015-06-25,2816.66,2837.19,2777.79,2823.86,316505.0
2015-06-26,2841.43,2882.08,2826.82,2875.86,229021.0
2015-06-29,2825.74,2877.15,2787.36,2866.19,175359.0
2015-06-30,2871.23,2960.03,2867.77,2953.56,411445.0
2015-07-01,2952.13,3025.15,2940.39,3017.2,348256.0
2015-07-02,3017.25,3033.04,2989.72,3016.96,317654.0
2015-07-03,2996.53,3037.92,2992.69,3023.81,232296.0
2015-07-06,3006.4,3068.41,2996.29,3060.91,262061.0
2015-07-07,3072.51,3141.77,3061.65,3119.37,259506.0
2015-07-08,3107.04,3107.04,3039.21,3073.74,332135.0
2015-07-09,3073.79,3098.16,3040.93,3061.7,204698.0
2015-07-10,3078.43,3102.06,3051.84,3088.1,264743.0
2015-07-13,3112.96,3127.71,3079.41,3121.64,225978.0
2015-07-14,3108.13,3126.77,3083.36,3096.19,102650.0
2015-07-15,3088.29,3184.74,3087.9,3157.41,292569.0
2015-07-16,3167.23,3172.65,3116.96,3132.74,274262.0
2015-07-17,3142.56,3204.72,3127.76,3180.65,234184.0
2015-07-20,3147.49,3324.11,3075.47,3309.16,1148342.0
2015-07-21,3315.23,3323.02,3166.24,3180.94,340048.0
2015-07-22,3159.33,3224.46,3149.07,3214.74,346564.0
2015-07-23,3225.44,3225.44,3168.21,3195.99,231807.0
2015-07-24,3186.76,3214.59,3154.01,3161.7,96970.0
2015-07-27,3153.41,3196.98,3074.53,3092.34,195346.0
2015-07-28,3078.43,3141.48,3078.43,3086.02,121452.0
2015-07-29,3093.23,3112.86,3040.54,3094.71,245141.0
2015-07-30,3105.07,3151.24,3088.29,3118.24,273988.0
2015-07-31,3127.76,3166.09,3094.46,3107.19,408966.0
2015-08-03,3107.19,3137.28,3098.31,3121.35,105250.0
2015-08-04,3147.49,3147.49,3063.63,3103.14,187452.0
2015-08-05,3122.78,3186.96,3106.94,3173.54,199816.0
2015-08-06,3177.09,3212.62,3158.35,3182.67,223940.0
2015-08-07,3188.54,3196.33,3147.49,3159.78,127506.0
2015-08-10,3176.11,3185.83,3113.55,3132.25,87980.0
2015-08-11,3139.5,3159.48,3105.86,3113.36,181332.0
2015-08-12,3105.17,3105.17,3014.29,3022.98,220889.0
2015-08-13,3024.16,3065.6,2990.07,3028.95,110660.0
2015-08-14,3038.0,3100.74,3035.53,3071.55,235010.0
2015-08-17,3087.48,3097.37,3031.52,3049.68,95647.0
2015-08-18,3048.98,3112.22,3033.6,3095.84,289898.0
2015-08-19,3112.22,3149.08,3077.58,3128.35,237756.0
2015-08-20,3129.04,3136.91,2989.51,3013.31,294583.0
2015-08-21,2998.42,2998.42,2895.3,2941.91,475339.0
2015-08-24,2880.71,2880.71,2770.81,2812.52,495165.0
2015-08-25,2816.53,2910.0,2761.91,2862.05,760739.0
2015-08-26,2850.97,2895.5,2820.29,2874.82,569258.0
2015-08-27,2894.51,2911.33,2822.17,2870.81,653750.0
2015-08-28,2881.75,2937.95,2881.75,2916.03,403751.0
2015-08-31,2917.27,2924.55,2848.4,2859.68,303137.0
2015-09-01,2809.41,2874.72,2748.9,2804.56,263764.0
2015-09-02,2840.08,2879.67,2813.71,2856.02,240078.0
2015-09-03,2852.95,2990.5,2852.95,2972.59,233282.0
2015-09-04,2963.78,2963.78,2860.97,2884.71,382219.0
2015-09-07,2881.65,2914.5,2820.29,2824.6,186676.0
2015-09-08,2832.66,2864.82,2779.72,2853.84,289885.0
2015-09-09,2879.67,2967.74,2879.67,2953.89,211211.0
2015-09-10,2900.45,2947.9,2871.85,2933.5,156082.0
2015-09-11,2962.64,2966.6,2893.22,2911.53,120249.0
2015-09-14,2917.27,2932.66,2889.66,2918.26,126730.0
