,open,high,low,close,volume
2015-05-15,322.29,328.59,321.47,325.37,2414062.0
2015-05-18,325.44,332.02,324.1,329.34,4329804.0
2015-05-19,329.4,332.74,323.75,325.25,1798066.0
2015-05-20,327.65,330.15,321.16,322.75,2664748.0
2015-05-21,324.35,337.39,324.03,336.27,3810559.0
2015-05-22,341.38,341.38,330.49,335.55,1987285.0
2015-05-25,336.2,346.63,335.67,344.25,3185475.0
2015-05-26,344.25,354.74,340.82,352.77,6190050.0
2015-05-27,347.69,349.5,332.21,335.2,6951375.0
2015-05-28,332.02,338.07,318.42,323.85,6936849.0
2015-05-29,323.66,355.74,320.04,344.91,47383105.0
2015-06-01,333.89,350.43,332.12,338.92,4819459.0
2015-06-02,341.01,346.78,328.06,331.46,2871489.0
2015-06-03,331.99,340.04,328.68,336.95,3342442.0
2015-06-04,337.79,351.62,337.79,349.81,3456874.0
2015-06-05,349.65,354.36,339.29,343.35,3633442.0
2015-06-08,342.44,342.44,332.43,333.64,2569891.0
2015-06-09,332.65,334.58,320.07,322.29,3451975.0
2015-06-10,323.6,328.15,319.16,325.0,2199621.0
2015-06-11,328.28,328.81,314.55,316.14,1913797.0
2015-06-12,316.04,328.87,312.92,327.06,1964808.0
2015-06-15,328.53,334.52,319.04,320.85,3347728.0
2015-06-16,320.16,326.22,316.89,324.03,2029876.0
2015-06-17,326.28,334.52,324.13,332.21,2159743.0
2015-06-18,332.9,334.83,326.56,327.68,1684065.0
2015-06-19,329.4,329.71,322.38,325.47,2954455.0
2015-06-22,327.5,343.29,325.47,340.88,3098634.0
2015-06-23,343.88,350.93,343.54,349.15,3714076.0
2015-06-24,349.5,352.02,334.83,337.92,2741890.0
2015-06-25,336.95,350.12,335.08,348.22,6207958.0
2015-06-26,345.16,358.73,340.95,348.9,4286835.0
2015-06-29,337.64,344.25,334.83,335.86,2074509.0
2015-06-30,337.51,341.38,331.55,334.27,3761629.0
2015-07-01,336.27,343.69,335.14,341.51,2532499.0
2015-07-02,341.66,347.44,339.23,342.57,1782717.0
2015-07-03,343.88,347.87,339.51,341.63,1392181.0
2015-07-06,337.01,349.5,336.39,348.62,2368588.0
2015-07-07,348.93,350.99,342.19,345.07,2554767.0
2015-07-08,342.01,344.97,330.93,332.83,2691954.0
2015-07-09,332.77,332.77,320.79,322.53,5302110.0
2015-07-10,324.53,328.03,321.16,323.72,4410291.0
2015-07-13,324.84,327.9,318.92,325.34,2876917.0
2015-07-14,326.09,330.46,324.56,326.09,2584035.0
2015-07-15,326.69,330.27,323.94,328.75,1784424.0
2015-07-16,331.88,341.25,329.98,339.63,3070018.0
2015-07-17,341.85,344.57,336.6,338.05,2265243.0
2015-07-20,339.03,347.9,337.89,346.06,2181942.0
2015-07-21,346.31,351.38,340.65,343.78,2277129.0
2015-07-22,344.86,350.05,343.18,345.78,2142196.0
2015-07-23,348.15,348.21,339.98,342.71,1268016.0
2015-07-24,343.59,348.15,337.83,339.67,1504918.0
2015-07-27,339.98,346.28,330.8,339.89,1874754.0
2015-07-28,339.22,345.68,331.75,333.11,1519926.0
2015-07-29,336.5,341.06,326.05,333.46,3282741.0
2015-07-30,335.55,338.08,327.64,328.78,2089858.0
2015-07-31,329.22,346.95,328.9,339.16,3547672.0
2015-08-03,339.95,345.9,338.72,342.71,1461303.0
2015-08-04,343.15,356.44,342.83,355.05,3201661.0
2015-08-05,358.09,364.04,355.84,358.66,3347805.0
2015-08-06,359.51,359.61,345.93,348.37,2147131.0
2015-08-07,349.35,352.01,343.31,344.45,1983366.0
2015-08-10,344.98,362.14,344.41,356.35,3981058.0
2015-08-11,358.6,364.93,351.38,356.03,3805474.0
2015-08-12,351.38,354.16,342.39,343.59,1332786.0
2015-08-13,346.95,357.08,345.08,349.51,2772363.0
2015-08-14,351.38,354.45,344.48,346.63,2294604.0
2015-08-17,347.39,353.88,339.67,350.4,1408044.0
2015-08-18,353.28,357.39,349.8,354.89,1049773.0
2015-08-19,355.18,361.51,352.17,357.77,1565622.0
2015-08-20,356.44,357.77,345.05,346.63,1530813.0
2015-08-21,343.72,343.72,329.44,339.16,1525099.0
2015-08-24,329.09,329.09,288.7,309.24,3134953.0
2015-08-25,312.13,321.27,306.9,316.49,3341262.0
2015-08-26,316.49,327.92,311.78,319.94,2125690.0
2015-08-27,325.42,334.25,324.15,328.43,2726020.0
2015-08-28,332.39,337.89,325.67,330.33,2815177.0
2015-08-31,326.12,327.54,316.68,318.17,2371855.0
2015-09-01,315.29,335.55,312.79,332.92,4463520.0
2015-09-02,336.82,341.88,333.62,336.22,2854956.0
2015-09-03,342.52,349.1,340.24,346.95,4058725.0
2015-09-04,346.54,346.54,330.23,335.33,1532944.0
2015-09-07,338.72,338.81,330.42,332.42,1589805.0
2015-09-08,333.46,335.55,316.08,328.46,2623801.0
2015-09-09,334.22,338.02,326.4,329.6,1928458.0
2015-09-10,322.26,326.05,307.12,314.09,4104697.0
2015-09-11,314.66,322.76,308.83,320.64,3091168.0
2015-09-14,322.76,322.89,313.39,317.92,2955048.0
2015-09-15,319.22,320.36,310.23,311.62,2302230.0
2015-09-16,314.31,317.19,299.78,302.57,3356440.0
2015-09-18,308.93,318.08,300.73,304.56,11934838.0
2015-09-21,302.63,306.43,296.46,298.04,2316594.0
2015-09-22,302.63,305.16,290.47,292.88,2024388.0
2015-09-23,288.7,295.66,284.3,294.43,2312647.0
2015-09-24,294.84,297.06,291.55,295.35,2408530.0
2015-09-28,296.74,298.74,285.57,287.66,1143208.0
2015-09-29,282.5,285.63,277.3,279.39,2026051.0
2015-09-30,284.27,292.31,280.94,290.16,2961564.0
2015-10-01,293.39,293.45,283.73,287.43,1427701.0
2015-10-05,289.87,289.87,274.65,286.17,3292248.0
2015-10-06,289.52,295.47,286.17,294.24,2727342.0
2015-10-07,295.54,295.54,281.42,284.21,2899240.0
2015-10-08,284.9,286.55,278.44,281.45,3793072.0
2015-10-09,281.89,288.67,281.89,286.8,2076313.0
2015-10-12,289.65,296.93,288.13,295.79,1681624.0
2015-10-13,298.2,302.28,295.79,301.11,2249263.0
2015-10-14,300.73,303.23,294.52,297.75,1566628.0
2015-10-15,298.83,302.95,296.49,301.65,3241903.0
2015-10-16,302.0,305.76,293.29,301.71,1776027.0
2015-10-19,301.71,310.1,301.2,308.99,1974682.0
2015-10-20,308.33,309.59,300.76,305.0,1235611.0
2015-10-21,305.1,307.95,297.88,303.67,1191996.0
2015-10-23,304.84,308.86,291.23,292.34,1921177.0
