,open,high,low,close,volume
2015-05-15,730.84,746.65,727.65,729.46,3229.0
2015-05-18,731.46,742.79,727.65,731.51,4830.0
2015-05-19,731.46,744.79,731.46,739.08,3600.0
2015-05-20,727.79,752.32,727.79,744.41,3075.0
2015-05-21,729.6,745.08,721.94,736.7,17114.0
2015-05-22,666.7,689.55,614.36,628.74,172802.0
2015-05-25,620.03,626.65,567.17,589.69,76766.0
2015-05-26,581.02,591.6,570.26,580.41,48332.0
2015-05-27,573.36,578.64,557.17,572.12,22149.0
2015-05-28,576.17,580.22,566.69,571.31,10509.0
2015-05-29,571.5,576.22,564.45,569.31,46486.0
2015-06-01,569.31,571.5,490.21,558.45,26819.0
2015-06-02,556.07,557.17,530.12,547.26,12516.0
2015-06-03,544.4,544.4,523.83,538.69,17810.0
2015-06-04,539.21,555.98,529.12,535.74,11118.0
2015-06-05,533.59,539.93,530.5,533.17,5666.0
2015-06-08,533.5,533.5,510.59,513.93,13187.0
2015-06-09,514.4,560.98,514.31,518.21,71502.0
2015-06-10,523.78,528.59,518.12,526.74,4773.0
2015-06-11,525.02,527.45,516.21,516.69,34584.0
2015-06-12,517.21,522.02,510.5,513.59,11572.0
2015-06-15,514.36,519.21,509.55,514.16,8723.0
2015-06-16,514.36,518.07,507.69,509.16,2918.0
2015-06-17,510.55,511.31,507.64,508.26,3165.0
2015-06-18,513.12,518.02,508.97,513.07,6462.0
2015-06-19,519.07,519.26,505.07,506.93,7710.0
2015-06-22,513.36,514.12,498.12,500.12,8008.0
2015-06-23,501.02,503.59,493.35,499.45,12942.0
2015-06-24,497.97,502.26,483.07,485.59,12082.0
2015-06-25,485.78,490.45,481.16,483.59,6629.0
2015-06-26,502.88,502.88,480.26,484.4,23831.0
2015-06-29,480.78,486.69,465.73,467.35,32250.0
2015-06-30,471.5,476.16,461.92,466.21,18714.0
2015-07-01,461.97,474.26,461.92,466.45,10207.0
2015-07-02,480.02,480.02,461.92,464.73,11526.0
2015-07-03,461.97,470.5,459.92,465.54,7398.0
2015-07-06,461.97,471.4,461.92,468.64,11398.0
2015-07-07,466.73,473.31,460.97,462.69,36290.0
2015-07-08,462.88,462.88,442.88,446.73,26691.0
2015-07-09,449.59,453.83,425.3,431.83,65023.0
2015-07-10,433.35,436.02,411.54,416.45,39583.0
2015-07-13,414.73,434.3,408.59,427.69,68785.0
2015-07-14,446.4,446.4,431.69,436.3,51361.0
2015-07-15,442.92,443.02,419.07,426.78,53466.0
2015-07-16,432.21,432.21,412.4,419.59,30746.0
2015-07-17,418.11,426.69,413.4,418.21,34134.0
2015-07-20,436.97,437.16,419.07,433.59,14607.0
2015-07-21,437.97,437.97,427.16,431.92,18282.0
2015-07-22,433.3,435.26,430.49,433.88,13214.0
2015-07-23,437.07,457.07,433.4,440.78,23025.0
2015-07-24,447.5,447.5,438.35,443.02,18052.0
2015-07-27,441.92,449.78,440.02,443.78,18375.0
2015-07-28,447.54,451.45,441.92,446.69,24668.0
2015-07-29,401.02,406.68,377.21,383.68,132466.0
2015-07-30,385.73,405.73,372.49,376.06,38902.0
2015-07-31,376.25,394.3,376.21,378.4,19971.0
2015-08-03,380.97,386.49,375.3,378.54,21343.0
2015-08-04,385.73,385.73,376.4,378.21,17358.0
2015-08-05,377.44,382.87,376.21,378.49,32666.0
2015-08-06,387.64,387.64,373.35,379.16,30126.0
2015-08-07,379.16,384.83,371.44,376.44,109410.0
2015-08-10,380.97,385.68,376.49,380.06,25361.0
2015-08-11,384.78,384.78,377.25,379.49,6780.0
2015-08-12,380.02,381.68,378.11,379.92,9920.0
2015-08-13,383.25,384.49,378.11,379.83,20142.0
2015-08-14,384.78,384.78,379.68,381.21,14669.0
2015-08-17,380.97,438.11,378.11,412.68,26422.0
2015-08-18,414.83,428.59,404.97,412.92,14377.0
2015-08-19,411.35,423.83,401.21,409.26,7849.0
2015-08-20,421.92,421.92,380.97,390.83,13481.0
2015-08-21,389.49,419.07,368.4,392.87,19468.0
2015-08-24,392.3,392.3,369.44,379.35,51613.0
2015-08-25,376.16,381.78,363.4,380.06,12993.0
2015-08-26,376.25,383.02,370.21,377.44,6847.0
2015-08-27,398.87,398.87,377.16,379.21,8472.0
2015-08-28,382.3,388.02,369.54,376.44,10786.0
2015-08-31,366.68,380.97,366.68,380.87,24097.0
2015-09-01,387.11,387.11,369.54,371.73,2397.0
2015-09-02,380.87,380.87,363.87,368.54,6241.0
2015-09-03,371.49,380.02,344.78,364.73,20291.0
2015-09-04,368.54,370.3,357.3,361.78,5370.0
2015-09-07,357.16,369.54,357.16,359.73,7243.0
2015-09-08,360.02,371.44,354.78,357.25,6656.0
2015-09-09,371.4,371.4,360.06,366.44,7141.0
2015-09-10,366.21,375.21,360.02,368.92,18974.0
2015-09-11,368.54,378.73,368.54,373.83,1303.0
2015-09-14,373.78,375.92,366.59,374.49,2600.0
2015-09-15,371.44,379.97,361.92,369.3,7155.0
2015-09-16,371.49,371.49,345.73,371.02,4370.0
2015-09-18,367.54,371.44,356.11,358.68,7704.0
2015-09-21,361.92,363.83,352.4,355.25,5078.0
2015-09-22,361.97,371.4,353.59,357.78,3508.0
2015-09-23,361.92,371.3,353.82,356.78,2983.0
2015-09-24,361.92,361.92,352.4,356.59,4880.0
2015-09-28,361.92,368.11,354.78,358.97,5867.0
2015-09-29,357.02,369.54,341.44,356.63,50153.0
2015-09-30,361.97,367.59,342.92,358.68,10381.0
2015-10-01,362.06,365.68,354.4,361.35,6612.0
2015-10-05,362.35,366.59,350.02,352.11,14752.0
2015-10-06,358.02,361.92,345.49,348.54,40800.0
2015-10-07,347.68,353.3,340.01,341.82,39981.0
2015-10-08,334.68,347.63,334.49,343.63,12812.0
2015-10-09,345.73,349.44,339.11,340.92,5792.0
2015-10-12,340.97,408.59,335.82,390.45,147067.0
2015-10-13,395.06,413.16,391.45,403.87,41410.0
2015-10-14,403.83,408.92,376.21,395.73,58323.0
2015-10-15,400.02,474.88,400.02,474.88,88133.0
2015-10-16,500.02,545.02,485.74,521.21,280679.0
2015-10-19,521.12,523.83,481.07,489.69,53439.0
2015-10-20,495.21,495.21,444.02,468.31,24084.0
2015-10-21,468.5,478.12,447.64,474.07,30715.0
2015-10-23,461.92,477.93,458.11,461.59,15867.0
2015-10-26,454.64,468.59,452.4,455.07,3423.0
2015-10-27,460.97,460.97,437.16,438.3,8920.0
2015-10-28,457.16,457.16,433.45,437.35,9282.0
2015-10-29,433.35,451.35,433.35,443.78,4689.0
2015-10-30,444.88,471.45,433.35,461.26,19996.0
2015-11-02,462.73,465.16,454.31,461.64,4245.0
2015-11-03,460.07,484.21,460.07,463.12,11931.0
2015-11-04,460.35,477.21,444.26,453.11,19518.0
2015-11-05,447.69,465.07,438.11,443.02,14614.0
2015-11-06,448.02,453.02,436.35,440.11,3233.0
2015-11-09,436.21,460.02,409.54,434.59,7156.0
2015-11-10,442.92,456.88,420.97,425.4,6481.0
2015-11-11,442.92,456.88,420.97,425.4,6481.0
2015-11-13,450.21,450.21,420.07,431.69,5058.0
2015-11-16,419.07,459.16,419.07,452.83,6427.0
