,open,high,low,close,volume
2015-05-15,53.76,53.76,51.52,52.25,1796304.0
2015-05-18,52.44,52.82,51.91,52.32,1585854.0
2015-05-19,52.46,52.68,52.17,52.34,1185674.0
2015-05-20,52.49,52.9,52.29,52.41,1171846.0
2015-05-21,52.73,52.73,52.15,52.56,381906.0
2015-05-22,52.73,53.16,51.76,52.63,5819672.0
2015-05-25,52.73,55.91,52.56,52.87,2144960.0
2015-05-26,53.09,53.26,51.81,52.51,1088958.0
2015-05-27,52.25,52.7,52.15,52.63,876484.0
2015-05-28,52.8,52.92,51.52,52.03,1090330.0
2015-05-29,52.32,53.57,51.04,52.7,2531856.0
2015-06-01,54.36,54.36,52.0,53.16,2275226.0
2015-06-02,52.97,53.35,51.52,51.98,873066.0
2015-06-03,52.15,52.25,41.6,49.4,3984490.0
2015-06-04,49.6,54.17,49.55,50.46,1666442.0
2015-06-05,50.27,51.23,48.8,49.96,2607360.0
2015-06-08,50.03,52.0,49.12,49.45,1686112.0
2015-06-09,49.6,51.16,48.63,49.98,7629504.0
2015-06-10,49.6,51.04,49.31,49.98,1809544.0
2015-06-11,50.05,50.9,49.02,49.84,1245138.0
2015-06-12,49.86,50.73,49.12,50.15,2169868.0
2015-06-15,50.03,51.28,49.98,50.73,1369090.0
2015-06-16,50.39,51.48,50.1,51.28,1266916.0
2015-06-17,51.33,52.34,51.33,51.93,952920.0
2015-06-18,52.0,53.45,52.0,52.9,1079664.0
2015-06-19,53.35,55.66,48.15,53.88,1921024.0
2015-06-22,54.17,55.86,54.17,54.85,1237046.0
2015-06-23,55.13,56.19,53.93,54.15,1510664.0
2015-06-24,54.22,55.21,53.45,54.34,1606708.0
2015-06-25,54.34,54.85,53.88,54.53,1067904.0
2015-06-26,54.73,55.81,53.88,55.09,1733880.0
2015-06-29,53.21,54.92,53.21,54.63,1631934.0
2015-06-30,54.48,56.92,54.48,55.76,2097434.0
2015-07-01,56.43,57.78,56.29,57.28,2296886.0
2015-07-02,59.23,65.94,59.23,63.54,13189762.0
2015-07-03,64.26,64.67,61.64,63.56,5130734.0
2015-07-06,62.6,69.77,62.6,68.62,12296262.0
2015-07-07,68.57,75.02,67.9,73.53,9641190.0
2015-07-08,71.75,73.1,68.69,71.15,6596218.0
2015-07-09,72.08,73.34,70.21,71.1,4763226.0
2015-07-10,71.55,72.95,69.34,70.21,15082038.0
2015-07-13,70.52,72.57,70.3,71.72,4025492.0
2015-07-14,71.65,71.99,69.87,70.09,2333854.0
2015-07-15,70.37,72.35,70.35,71.94,2330504.0
2015-07-16,72.81,75.6,71.75,74.18,7526732.0
2015-07-17,74.78,77.91,74.64,76.92,6321800.0
2015-07-20,77.04,78.73,76.13,77.26,3591406.0
2015-07-21,77.38,77.86,76.18,76.54,2383378.0
2015-07-22,75.6,79.38,75.58,79.04,4354424.0
2015-07-23,81.23,81.23,77.53,78.1,5590056.0
2015-07-24,77.77,79.64,77.53,78.37,3945640.0
2015-07-27,78.01,80.32,77.19,78.58,5746360.0
2015-07-28,78.97,80.37,77.93,78.42,3382006.0
2015-07-29,78.66,79.72,78.18,78.46,2892840.0
2015-07-30,78.68,78.9,75.74,76.13,6094814.0
2015-07-31,78.06,81.57,78.06,80.17,8747064.0
2015-08-03,80.1,81.33,79.36,81.02,2733868.0
2015-08-04,81.16,81.31,79.69,80.41,1578088.0
2015-08-05,81.96,82.1,79.45,79.79,1453620.0
2015-08-06,79.79,80.05,78.15,79.11,1874080.0
2015-08-07,78.87,80.41,78.73,80.22,1821292.0
2015-08-10,80.32,83.01,79.93,80.39,3098888.0
2015-08-11,80.9,81.14,79.69,80.25,1591126.0
2015-08-12,79.52,80.29,76.32,76.73,2915086.0
2015-08-13,77.04,77.77,74.03,75.05,2570262.0
2015-08-14,75.29,76.47,73.24,74.13,3609454.0
2015-08-17,74.15,74.76,72.71,74.06,1759338.0
2015-08-18,74.35,74.76,73.43,74.3,897832.0
2015-08-19,74.25,74.64,72.52,73.05,1246190.0
2015-08-20,71.31,71.31,58.46,61.54,7299394.0
2015-08-21,59.95,64.77,59.23,60.07,8046836.0
2015-08-24,57.25,60.07,48.06,48.06,8731154.0
2015-08-25,49.12,50.17,43.27,43.27,6183036.0
2015-08-26,43.34,47.57,41.94,47.31,7281412.0
2015-08-27,49.81,52.03,49.81,51.86,4174218.0
2015-08-28,53.95,57.04,53.95,56.99,4360212.0
2015-08-31,57.16,57.86,56.72,57.01,3333016.0
2015-09-01,56.41,57.73,52.58,53.18,4146640.0
2015-09-02,53.79,55.52,49.67,51.88,6311016.0
2015-09-03,52.49,53.02,50.61,51.04,3794332.0
