,open,high,low,close,volume
2015-05-15,185.19,185.19,179.83,180.6,17626.0
2015-05-18,181.69,182.33,176.94,178.96,14809.0
2015-05-19,179.63,189.2,178.54,183.97,41938.0
2015-05-20,184.8,192.34,184.8,188.49,32004.0
2015-05-21,192.34,194.4,185.03,186.18,20592.0
2015-05-22,186.21,188.75,179.83,181.33,17448.0
2015-05-25,184.29,184.58,178.61,182.23,8931.0
2015-05-26,179.89,184.03,179.76,180.31,6231.0
2015-05-27,179.5,188.43,176.97,186.34,13401.0
2015-05-28,186.34,192.22,181.49,185.6,15816.0
2015-05-29,188.36,189.65,183.77,185.8,14914.0
2015-06-01,186.21,218.22,180.92,212.66,426652.0
2015-06-02,214.88,222.2,208.01,209.26,224847.0
2015-06-03,209.26,210.67,190.16,197.42,54216.0
2015-06-04,199.02,206.73,193.88,200.05,32997.0
2015-06-05,199.66,199.66,191.96,193.47,25162.0
2015-06-08,195.17,195.65,185.25,187.05,18220.0
2015-06-09,187.69,192.6,182.97,188.46,18669.0
2015-06-10,186.37,193.95,183.32,188.62,20880.0
2015-06-11,189.74,189.74,183.61,185.31,6274.0
2015-06-12,185.54,189.39,180.47,184.29,7290.0
2015-06-15,195.11,195.11,183.61,185.25,10020.0
2015-06-16,186.18,188.11,183.65,186.82,5841.0
2015-06-17,187.47,195.17,183.61,191.12,130399.0
2015-06-18,190.96,219.63,189.39,204.83,322117.0
2015-06-19,205.38,211.22,199.15,200.05,69120.0
2015-06-22,200.05,209.61,200.05,201.46,167661.0
2015-06-23,202.23,208.65,202.23,206.66,76287.0
2015-06-24,206.69,247.81,205.7,235.68,517378.0
2015-06-25,232.12,240.75,228.97,237.64,100890.0
2015-06-26,236.9,243.96,231.12,233.24,36148.0
2015-06-29,234.33,234.33,213.15,221.75,57919.0
2015-06-30,229.71,229.71,211.28,214.78,72045.0
2015-07-01,215.2,224.7,215.17,217.99,55686.0
2015-07-02,218.28,261.58,218.28,261.3,738648.0
2015-07-03,261.58,269.58,251.67,254.14,324913.0
2015-07-06,252.95,291.57,246.53,282.87,578205.0
