,open,high,low,close,volume
2015-05-15,54.77,55.23,54.12,54.6,80444.0
2015-05-18,54.64,55.47,54.35,54.77,113610.0
2015-05-19,54.41,55.47,54.41,55.09,96754.0
2015-05-20,55.76,55.76,53.81,54.83,91448.0
2015-05-21,54.88,55.41,54.53,54.78,41678.0
2015-05-22,54.95,55.17,54.23,54.54,58646.0
2015-05-25,54.94,54.95,54.42,54.77,63126.0
2015-05-26,55.35,55.35,54.23,54.38,56994.0
2015-05-27,54.41,54.6,53.83,54.1,68208.0
2015-05-28,54.64,54.81,54.06,54.41,54390.0
2015-05-29,54.47,55.29,54.35,55.03,73528.0
2015-06-01,54.65,55.23,54.18,54.46,43624.0
2015-06-02,54.65,54.76,54.0,54.06,107142.0
2015-06-03,54.74,54.75,53.47,53.96,230986.0
2015-06-04,53.54,53.86,50.24,51.24,369166.0
2015-06-05,52.24,52.24,50.53,51.21,110922.0
2015-06-08,52.39,52.59,51.12,51.53,65688.0
2015-06-09,51.0,51.88,51.0,51.52,75992.0
2015-06-10,51.59,52.24,51.12,52.01,108836.0
2015-06-11,52.53,52.53,51.13,51.77,112700.0
2015-06-12,51.77,52.13,51.13,51.95,67970.0
2015-06-15,51.52,52.58,51.01,52.36,63350.0
2015-06-16,52.59,52.59,51.91,52.3,149002.0
2015-06-17,52.18,52.53,52.18,52.3,337078.0
2015-06-18,52.88,53.31,52.3,52.58,98854.0
2015-06-19,52.58,53.47,52.42,53.29,40922.0
2015-06-22,53.59,54.49,53.47,54.23,80612.0
2015-06-23,55.23,55.23,53.77,53.98,43862.0
2015-06-24,53.78,56.05,52.95,54.16,105840.0
2015-06-25,54.03,55.1,53.77,54.46,39690.0
2015-06-26,54.06,54.53,53.82,53.87,35112.0
2015-06-29,52.63,53.24,52.06,52.32,59206.0
2015-06-30,53.0,54.94,52.2,52.63,76314.0
2015-07-01,52.47,53.47,52.47,52.87,459312.0
2015-07-02,53.82,53.82,52.3,52.42,68138.0
2015-07-03,52.44,53.15,51.94,52.04,119308.0
2015-07-06,51.41,52.79,51.18,51.85,630616.0
2015-07-07,51.06,53.71,51.06,52.75,200998.0
2015-07-08,53.41,53.41,51.15,52.89,215334.0
2015-07-09,53.17,54.35,52.59,53.75,194628.0
2015-07-10,53.83,54.23,52.92,53.44,44170.0
2015-07-13,53.02,54.0,52.59,53.65,35378.0
2015-07-14,53.65,54.06,53.0,53.37,47572.0
2015-07-15,54.29,54.29,53.71,54.07,59892.0
2015-07-16,54.61,54.61,53.77,54.32,98406.0
2015-07-17,54.41,56.53,54.1,55.44,130774.0
2015-07-20,55.22,55.42,54.76,55.0,50862.0
2015-07-21,55.22,55.24,54.35,54.39,49672.0
2015-07-22,55.47,55.47,53.76,54.53,56798.0
2015-07-23,54.43,55.52,54.35,55.19,58520.0
2015-07-24,59.13,59.65,58.66,59.02,58688.0
2015-07-27,58.51,58.68,57.63,58.0,234374.0
2015-07-28,58.08,58.57,57.08,57.61,63350.0
2015-07-29,58.0,58.55,57.5,58.03,23226.0
2015-07-30,58.32,59.83,58.32,58.83,54334.0
2015-07-31,58.89,60.91,58.76,60.03,174762.0
2015-08-03,60.9,62.61,59.83,61.45,1467872.0
2015-08-04,61.79,62.24,60.61,61.55,268408.0
2015-08-05,62.1,62.98,61.72,62.54,396382.0
2015-08-06,62.97,63.61,62.48,63.31,346248.0
2015-08-07,63.61,64.5,62.67,62.98,3151260.0
2015-08-10,63.93,64.55,62.48,62.82,179788.0
2015-08-11,62.04,63.17,61.73,62.58,169834.0
2015-08-12,62.36,62.79,61.66,61.79,138012.0
2015-08-13,61.74,62.54,60.76,61.98,84196.0
2015-08-14,61.73,62.92,60.91,62.22,120736.0
2015-08-17,62.41,62.41,60.97,61.23,40572.0
2015-08-18,61.25,62.35,58.98,60.75,82166.0
2015-08-19,60.79,61.6,60.79,60.97,40404.0
2015-08-20,60.97,61.08,59.68,60.03,36736.0
2015-08-21,59.83,60.03,58.27,59.22,181160.0
2015-08-24,58.89,58.89,50.39,54.5,136374.0
2015-08-25,54.49,55.8,53.22,55.07,127470.0
2015-08-26,55.11,56.05,53.55,55.59,68040.0
2015-08-27,55.3,57.88,55.23,57.24,57568.0
2015-08-28,58.01,58.55,57.32,57.95,49070.0
2015-08-31,57.94,57.94,56.08,56.65,97510.0
2015-09-01,56.31,56.31,55.22,55.85,40334.0
