,open,high,low,close,volume
2015-05-15,273.42,276.18,270.86,272.65,26484.0
2015-05-18,274.37,278.49,258.77,262.63,95734.0
2015-05-19,265.02,267.37,258.54,263.47,24502.0
2015-05-20,266.61,266.61,258.54,261.19,16254.0
2015-05-21,266.44,266.44,259.51,263.21,29428.0
2015-05-22,267.79,267.79,260.4,261.33,16872.0
2015-05-25,258.07,265.0,253.42,255.03,16164.0
2015-05-26,255.72,259.0,252.96,254.19,15064.0
2015-05-27,251.61,253.42,231.57,248.28,77842.0
2015-05-28,253.19,265.88,253.19,257.61,80006.0
2015-05-29,256.45,274.81,255.75,269.47,179220.0
2015-06-01,269.47,269.7,259.24,260.33,20122.0
2015-06-02,259.56,263.61,253.42,255.33,16060.0
2015-06-03,256.21,256.21,241.8,248.54,25966.0
2015-06-04,250.17,255.33,247.38,249.21,13778.0
2015-06-05,248.77,252.96,244.12,245.8,15650.0
2015-06-08,250.63,252.91,235.52,237.82,28580.0
2015-06-09,241.71,241.71,232.5,238.68,22402.0
2015-06-10,236.22,242.03,235.36,236.31,33398.0
2015-06-11,238.75,239.01,231.57,232.38,27438.0
2015-06-12,230.78,233.31,227.89,229.57,28442.0
2015-06-15,231.8,231.8,222.13,224.06,45130.0
2015-06-16,224.13,239.45,220.87,231.48,25688.0
2015-06-17,235.66,246.45,235.66,244.54,46298.0
2015-06-18,248.31,254.82,238.31,243.38,44236.0
2015-06-19,244.12,252.84,239.98,249.91,33920.0
2015-06-22,252.45,255.07,249.7,254.33,24050.0
2015-06-23,255.17,255.75,247.17,252.84,31772.0
2015-06-24,255.17,255.17,246.94,248.45,18718.0
2015-06-25,248.77,248.8,239.47,240.64,30804.0
2015-06-26,240.4,243.98,232.5,242.94,240708.0
2015-06-29,241.8,242.57,234.36,238.94,21144.0
2015-06-30,239.38,250.08,234.82,243.94,35368.0
2015-07-01,247.33,251.1,244.12,246.15,24190.0
2015-07-02,249.89,251.1,244.12,249.28,26286.0
2015-07-03,249.28,250.63,245.8,248.42,12882.0
2015-07-06,241.84,253.42,240.5,251.91,21982.0
2015-07-07,253.42,253.42,245.87,249.45,21582.0
2015-07-08,248.52,251.8,241.33,246.77,20356.0
2015-07-09,249.38,257.56,246.47,252.26,29358.0
2015-07-10,249.82,254.38,249.82,252.45,11730.0
2015-07-13,252.03,252.03,239.47,244.77,61516.0
2015-07-14,246.45,248.31,240.33,242.75,23146.0
2015-07-15,243.66,245.96,242.03,242.47,21556.0
2015-07-16,242.73,251.1,242.73,249.19,34688.0
2015-07-17,249.7,255.28,249.7,253.56,41466.0
2015-07-20,257.14,265.93,256.03,262.42,54196.0
