,open,high,low,close,volume
2015-05-15,88.17,90.95,87.24,89.79,377556.0
2015-05-18,90.03,90.72,89.1,89.79,114313.0
2015-05-19,89.79,91.19,88.17,89.79,123955.0
2015-05-20,90.21,91.05,89.38,89.84,75481.0
2015-05-21,89.84,89.98,88.36,89.24,77148.0
2015-05-22,89.93,90.49,88.82,89.42,86134.0
2015-05-25,90.49,90.49,88.68,88.96,49443.0
2015-05-26,89.28,89.79,87.75,88.4,76262.0
2015-05-27,88.22,89.1,87.24,88.77,72335.0
2015-05-28,89.19,90.82,88.26,90.35,111882.0
2015-05-29,90.86,91.79,89.56,91.09,118151.0
2015-06-01,91.28,92.35,90.58,91.14,77697.0
2015-06-02,90.95,91.7,89.47,90.44,75838.0
2015-06-03,91.23,91.23,87.71,89.66,92582.0
2015-06-04,90.58,90.58,87.34,88.12,90206.0
2015-06-05,88.63,90.31,87.71,89.28,110998.0
2015-06-08,89.66,89.98,87.34,88.82,51893.0
2015-06-09,89.1,89.75,87.99,88.17,35508.0
2015-06-10,88.31,89.66,87.89,88.03,158094.0
2015-06-11,88.63,88.82,87.47,87.8,97240.0
2015-06-12,87.24,90.07,87.06,89.56,147644.0
2015-06-15,89.1,89.52,87.71,88.08,52679.0
2015-06-16,87.24,88.91,87.24,88.5,538214.0
2015-06-17,88.73,89.84,87.71,88.59,64713.0
2015-06-18,88.91,91.33,88.54,89.66,332735.0
2015-06-19,89.66,90.58,88.31,88.59,66607.0
2015-06-22,88.59,90.21,88.4,89.24,71265.0
2015-06-23,89.28,90.58,88.63,89.19,69047.0
2015-06-24,89.52,95.04,89.19,90.91,510676.0
2015-06-25,91.88,91.88,89.75,90.21,111092.0
2015-06-26,90.44,90.95,89.19,89.7,90578.0
2015-06-29,89.93,89.93,86.92,87.89,92376.0
2015-06-30,87.24,88.77,87.24,88.03,66868.0
2015-07-01,88.17,89.1,87.71,88.08,137394.0
2015-07-02,88.17,88.91,87.61,87.8,100064.0
2015-07-03,88.08,88.36,87.06,87.34,202587.0
2015-07-06,87.06,91.37,86.31,90.54,717712.0
2015-07-07,92.16,94.34,90.03,90.58,1967603.0
2015-07-08,89.1,92.35,88.26,88.77,342941.0
2015-07-09,89.84,90.03,88.26,88.68,229192.0
2015-07-10,90.13,90.93,88.4,88.77,804607.0
2015-07-13,89.1,89.95,88.77,89.62,112854.0
2015-07-14,89.62,91.07,89.1,89.57,158316.0
2015-07-15,89.85,90.74,89.15,89.43,123358.0
2015-07-16,90.04,90.7,88.92,89.99,150401.0
2015-07-17,90.32,91.17,89.29,89.71,211637.0
2015-07-20,90.04,91.12,89.1,90.13,175857.0
2015-07-21,90.89,91.26,88.82,89.1,220605.0
2015-07-22,88.82,91.12,88.54,90.04,295112.0
2015-07-23,90.93,97.92,90.13,94.68,1641143.0
2015-07-24,95.34,100.64,90.28,91.49,3969680.0
2015-07-27,91.92,93.79,88.07,88.49,471073.0
2015-07-28,89.1,91.35,88.07,90.04,624544.0
2015-07-29,90.51,91.45,90.13,90.6,273803.0
2015-07-30,90.98,91.59,90.23,90.7,234916.0
2015-07-31,90.98,91.64,89.85,90.23,343613.0
2015-08-03,90.98,91.26,87.98,88.59,280039.0
2015-08-04,89.01,91.64,87.84,90.51,577979.0
2015-08-05,90.89,92.48,88.96,89.34,460613.0
2015-08-06,89.1,92.2,88.49,88.82,619848.0
2015-08-07,89.1,91.35,88.73,88.96,282338.0
2015-08-10,89.29,90.6,87.88,88.45,222511.0
2015-08-11,88.82,89.53,87.23,87.41,219534.0
2015-08-12,87.6,87.7,82.54,82.77,433845.0
2015-08-13,83.48,84.37,78.27,78.79,437362.0
2015-08-14,79.63,82.35,77.47,81.83,325635.0
2015-08-17,82.3,83.15,79.91,82.63,188880.0
2015-08-18,84.32,85.73,82.77,84.04,307053.0
2015-08-19,84.23,85.35,82.91,84.55,267617.0
2015-08-20,84.04,85.82,82.07,83.15,406826.0
2015-08-21,81.65,84.13,81.6,82.96,367415.0
2015-08-24,79.63,79.96,77.94,79.35,418044.0
2015-08-25,80.99,80.99,71.38,75.32,482750.0
2015-08-26,75.97,77.47,75.27,75.88,387646.0
2015-08-27,76.91,78.27,76.16,76.77,177164.0
2015-08-28,77.75,78.6,75.97,76.63,161265.0
2015-08-31,76.72,76.72,75.03,75.32,102418.0
2015-09-01,74.99,74.99,71.75,72.17,150838.0
2015-09-02,72.97,73.39,71.47,72.08,110783.0
2015-09-03,72.22,73.63,71.47,71.99,95592.0
2015-09-04,72.31,72.69,69.41,70.95,166677.0
2015-09-07,70.81,70.81,67.16,68.09,197524.0
2015-09-08,68.89,68.89,66.41,67.81,153072.0
2015-09-09,69.22,69.88,68.0,68.28,187834.0
2015-09-10,67.34,68.47,66.41,68.28,117388.0
2015-09-11,68.94,69.59,68.47,69.13,129139.0
2015-09-14,69.59,75.64,68.75,74.05,1043263.0
2015-09-15,74.8,76.07,72.45,73.72,501771.0
2015-09-16,74.14,74.66,72.22,74.14,187128.0
2015-09-18,74.47,75.6,74.0,74.52,111540.0
2015-09-21,74.1,75.6,73.02,74.24,105610.0
2015-09-22,74.85,75.36,71.19,72.36,157044.0
2015-09-23,71.42,74.75,70.49,74.0,164374.0
2015-09-24,74.75,74.75,72.5,72.97,71887.0
2015-09-28,73.16,76.86,72.78,75.13,347268.0
2015-09-29,74.89,75.13,72.78,73.21,115071.0
2015-09-30,73.67,76.35,73.53,75.69,294273.0
2015-10-01,75.69,78.32,74.66,76.21,490653.0
2015-10-05,77.38,78.36,75.55,77.94,443040.0
2015-10-06,79.35,82.73,78.46,80.24,1280616.0
2015-10-07,80.47,80.85,79.25,79.58,210727.0
2015-10-08,80.66,80.66,78.97,79.77,132555.0
2015-10-09,80.66,81.51,79.91,80.19,226101.0
2015-10-12,80.38,80.66,79.25,79.4,102743.0
2015-10-13,79.82,80.66,78.83,79.63,229143.0
2015-10-14,79.86,80.29,79.25,79.44,119919.0
2015-10-15,80.19,80.19,78.6,78.88,76023.0
2015-10-16,79.68,80.19,78.41,78.69,88453.0
2015-10-19,79.07,82.82,79.07,81.69,549216.0
2015-10-20,82.4,82.63,80.38,80.99,191221.0
2015-10-21,80.99,81.79,79.82,80.52,108561.0
2015-10-23,81.6,96.61,80.57,96.0,12637677.0
2015-10-26,97.54,98.86,91.45,92.1,6354411.0
2015-10-27,92.29,95.39,90.51,93.51,2084519.0
2015-10-28,93.7,95.39,92.29,92.9,1106772.0
2015-10-29,92.67,98.39,92.15,95.11,2945334.0
2015-10-30,96.09,96.09,91.45,92.01,688457.0
2015-11-02,92.62,92.76,88.77,89.38,668292.0
2015-11-03,90.04,90.84,88.35,88.68,404614.0
2015-11-04,89.38,92.85,88.73,91.07,1017400.0
2015-11-05,91.54,91.54,85.45,86.62,592464.0
2015-11-06,87.04,87.88,84.65,85.12,308768.0
2015-11-09,81.69,87.23,80.19,86.81,389473.0
2015-11-10,86.85,87.7,84.41,84.84,165121.0
2015-11-11,86.85,87.7,84.41,84.84,165121.0
2015-11-13,85.54,87.65,84.6,85.63,266088.0
2015-11-16,84.88,88.45,83.1,87.65,722446.0
2015-11-17,89.1,89.38,87.04,87.51,588891.0
2015-11-18,88.12,88.12,85.45,86.34,237370.0
