,open,high,low,close,volume
2015-05-15,527.62,542.15,517.66,522.37,9206.0
2015-05-18,523.71,538.28,511.36,519.94,22945.0
2015-05-19,520.93,530.55,515.67,519.74,15028.0
2015-05-20,517.26,530.6,516.66,523.36,2073.0
2015-05-21,517.21,530.3,513.69,515.67,19124.0
2015-05-22,513.74,525.04,510.71,517.36,1401.0
2015-05-25,515.72,527.08,512.8,517.36,22736.0
2015-05-26,510.32,521.62,510.27,520.63,1367.0
2015-05-27,520.43,520.43,508.78,511.46,7699.0
2015-05-28,524.5,524.55,490.88,497.77,7551.0
2015-05-29,513.69,515.67,485.82,494.95,10463.0
2015-06-01,513.59,513.64,487.96,492.12,3413.0
2015-06-02,496.78,496.78,460.34,464.3,12535.0
2015-06-03,464.7,480.77,454.19,466.44,10712.0
2015-06-04,466.14,480.96,466.09,476.15,3502.0
2015-06-05,487.76,487.76,467.18,469.96,928.0
2015-06-08,471.05,487.71,462.17,481.06,6736.0
2015-06-09,466.29,483.29,461.83,475.91,7308.0
2015-06-10,468.67,475.36,448.29,468.27,5049.0
2015-06-11,479.97,479.97,463.21,466.73,16728.0
2015-06-12,462.12,473.92,451.26,466.24,5261.0
2015-06-15,475.51,480.96,467.63,474.02,2556.0
2015-06-16,471.1,477.99,466.59,473.77,2265.0
2015-06-17,477.99,487.91,455.18,466.09,25240.0
2015-06-18,471.1,477.99,463.41,466.73,6297.0
2015-06-19,464.21,464.21,446.26,454.54,4781.0
2015-06-22,453.2,515.67,430.88,450.02,10396.0
2015-06-23,454.24,456.22,449.83,451.41,14705.0
2015-06-24,456.07,484.93,449.23,471.35,4481.0
2015-06-25,473.03,482.9,456.17,474.42,4498.0
2015-06-26,461.33,480.96,456.52,469.91,7491.0
2015-06-29,454.09,467.13,451.91,462.02,3875.0
2015-06-30,456.32,495.54,456.32,489.29,4745.0
2015-07-01,500.8,502.78,476.11,478.88,2112.0
2015-07-02,480.91,494.65,473.03,485.43,2807.0
2015-07-03,495.05,499.61,477.79,496.24,6630.0
2015-07-06,478.53,500.8,478.49,490.73,3363.0
2015-07-07,481.31,504.72,481.26,485.13,2566.0
2015-07-08,471.1,490.88,435.69,461.33,16619.0
2015-07-09,470.45,485.72,457.31,464.55,5486.0
2015-07-10,473.77,480.77,464.11,469.21,14113.0
2015-07-13,478.49,478.53,463.11,470.06,31603.0
2015-07-14,463.16,486.86,462.17,482.8,34962.0
2015-07-15,482.01,552.76,478.73,533.57,49702.0
2015-07-16,543.44,570.76,543.39,550.93,34550.0
2015-07-17,555.34,570.22,545.42,548.5,14499.0
2015-07-20,560.35,563.27,545.42,551.18,11441.0
2015-07-21,561.29,561.29,516.66,524.95,7773.0
2015-07-22,534.47,534.52,525.54,534.47,3763.0
2015-07-23,543.89,557.22,532.04,544.33,5730.0
2015-07-24,554.3,554.35,523.76,527.87,4165.0
2015-07-27,535.56,545.32,527.08,530.6,4387.0
2015-07-28,530.6,541.16,525.59,527.72,2939.0
2015-07-29,535.51,535.51,515.67,519.54,4403.0
2015-07-30,515.67,520.63,501.39,506.5,14667.0
2015-07-31,516.62,525.64,505.76,513.94,12471.0
2015-08-03,515.67,549.34,510.71,540.66,9760.0
2015-08-04,548.4,575.27,527.57,558.41,9101.0
2015-08-05,563.22,569.12,546.96,565.36,9857.0
2015-08-06,552.61,569.37,552.46,566.0,10649.0
2015-08-07,567.24,567.29,551.52,553.75,4573.0
2015-08-10,537.99,561.29,535.51,536.35,5110.0
2015-08-11,545.18,545.23,516.66,522.81,4255.0
2015-08-12,530.55,530.55,510.71,515.03,3344.0
2015-08-13,535.41,535.41,510.71,514.28,3088.0
2015-08-14,510.81,536.0,510.76,524.9,1273.0
2015-08-17,524.6,534.47,524.55,530.6,555.0
2015-08-18,540.42,550.38,518.65,534.47,2566.0
2015-08-19,527.57,545.42,527.52,541.85,3496.0
2015-08-20,540.91,545.42,525.84,531.04,2866.0
2015-08-21,520.68,530.05,515.67,520.58,4999.0
2015-08-24,515.67,515.67,480.02,490.39,10201.0
2015-08-25,471.54,495.74,451.21,470.8,13101.0
2015-08-26,492.52,492.86,466.09,469.16,6273.0
2015-08-27,470.06,510.71,470.06,498.42,5865.0
2015-08-28,501.1,515.57,476.6,485.77,8736.0
2015-08-31,490.19,498.81,476.01,479.77,5050.0
2015-09-01,476.35,492.77,466.04,488.4,2963.0
2015-09-02,490.88,490.88,466.19,473.68,1987.0
2015-09-03,475.31,480.91,468.07,472.14,3172.0
2015-09-04,472.14,480.17,456.17,471.3,1920.0
2015-09-07,477.99,480.96,456.17,458.55,1104.0
2015-09-08,461.08,476.01,456.17,472.34,1684.0
2015-09-09,475.01,484.83,467.08,472.04,945.0
2015-09-10,485.77,485.77,456.77,468.47,1843.0
2015-09-11,471.05,475.86,466.19,468.72,1504.0
2015-09-14,467.38,499.81,466.19,498.32,10284.0
2015-09-15,484.93,497.97,476.01,477.0,1751.0
2015-09-16,478.78,495.84,478.49,488.5,1644.0
2015-09-18,493.81,493.86,478.04,482.9,1950.0
2015-09-21,496.38,502.15,482.45,497.37,2355.0
2015-09-22,507.27,509.21,490.41,490.76,2091.0
2015-09-23,483.05,505.33,482.45,504.88,1362.0
2015-09-24,505.33,525.13,488.07,516.92,2998.0
2015-09-28,522.19,523.19,502.3,503.09,2643.0
2015-09-29,510.95,522.24,498.37,520.65,2091.0
2015-09-30,507.97,517.22,492.35,496.43,15794.0
2015-10-01,511.3,511.3,484.94,486.83,4815.0
2015-10-05,503.34,505.33,487.52,500.7,1859.0
2015-10-06,505.28,513.09,488.52,492.8,2594.0
2015-10-07,493.44,502.25,487.42,497.27,2992.0
2015-10-08,497.37,505.33,493.39,497.12,19100.0
2015-10-09,505.28,517.27,490.41,496.08,5480.0
2015-10-12,504.24,506.52,493.39,499.21,4283.0
2015-10-13,502.3,512.29,490.41,496.77,4169.0
2015-10-14,502.25,503.24,484.44,496.82,3299.0
2015-10-15,493.74,515.28,493.69,507.22,5085.0
2015-10-16,515.08,515.13,487.52,492.4,4099.0
2015-10-19,497.37,497.37,471.11,485.58,6342.0
2015-10-20,492.35,497.27,473.55,480.26,3266.0
2015-10-21,482.5,490.11,481.41,484.54,1075.0
2015-10-23,500.21,500.21,486.58,497.37,2262.0
2015-10-26,502.3,502.3,479.47,483.5,2559.0
2015-10-27,489.12,497.32,473.5,484.79,2486.0
