,open,high,low,close,volume
2015-05-15,270.53,280.01,270.53,276.91,2440949.0
2015-05-18,278.86,281.72,277.91,279.96,1393084.0
2015-05-19,280.01,284.44,276.96,280.1,1565215.0
2015-05-20,281.96,283.77,280.15,281.29,994927.0
2015-05-21,281.25,283.15,272.77,274.86,1640867.0
2015-05-22,285.82,305.77,285.82,303.77,14060344.0
2015-05-25,303.68,311.3,297.96,309.49,4248542.0
2015-05-26,309.58,331.3,306.06,327.83,7061301.0
2015-05-27,321.97,329.4,318.4,320.87,3963828.0
2015-05-28,321.3,326.21,312.97,314.82,3939183.0
2015-05-29,314.35,321.68,312.49,317.16,2461954.0
2015-06-01,316.25,326.02,314.2,321.92,4668717.0
2015-06-02,321.49,322.25,311.11,314.59,1978797.0
2015-06-03,314.3,317.82,307.2,314.68,2236756.0
2015-06-04,315.78,320.68,309.92,315.39,2142962.0
2015-06-05,314.63,320.54,313.73,316.68,1464795.0
2015-06-08,316.25,318.35,308.73,310.92,1208877.0
2015-06-09,310.06,315.73,310.06,312.82,2064434.0
2015-06-10,314.35,331.83,313.78,326.78,4401317.0
2015-06-11,329.59,331.35,315.39,317.25,3037870.0
2015-06-12,317.25,318.92,309.97,314.16,1608839.0
2015-06-15,314.59,320.3,313.92,315.01,1133885.0
2015-06-16,315.78,316.87,308.92,315.01,1499546.0
2015-06-17,316.16,324.25,316.01,322.49,2823822.0
2015-06-18,324.83,328.35,321.82,324.68,1407716.0
2015-06-19,326.59,327.92,318.87,321.4,1094754.0
2015-06-22,322.44,339.3,320.54,335.59,3173337.0
2015-06-23,337.21,342.83,335.54,341.49,2856554.0
2015-06-24,341.88,341.97,319.49,322.68,4438388.0
2015-06-25,320.73,326.02,315.49,322.68,4670342.0
2015-06-26,321.78,324.63,319.06,321.97,1517644.0
2015-06-29,316.97,316.97,308.3,313.35,1887833.0
2015-06-30,307.68,310.49,298.63,300.34,4053711.0
2015-07-01,301.68,308.06,300.06,306.96,2906685.0
2015-07-02,308.54,313.39,303.92,305.15,2383139.0
2015-07-03,307.49,309.87,300.34,301.96,1978161.0
2015-07-06,297.2,307.3,296.34,306.35,1342494.0
2015-07-07,305.96,309.92,301.96,303.34,1224161.0
2015-07-08,301.01,308.58,298.2,304.2,1710030.0
2015-07-09,306.58,309.49,302.49,304.54,1510718.0
2015-07-10,308.42,308.42,298.11,299.74,1559726.0
2015-07-13,300.17,302.47,292.83,296.96,2008276.0
2015-07-14,297.48,303.14,297.39,300.79,1714369.0
