,open,high,low,close,volume
2015-05-15,1393.89,1410.64,1377.89,1400.52,888.0
2015-05-18,1406.4,1420.72,1383.77,1406.82,558.0
2015-05-19,1418.95,1434.15,1411.52,1423.07,1529.0
2015-05-20,1422.4,1433.1,1406.44,1426.43,952.0
2015-05-21,1427.43,1427.43,1404.76,1424.7,1173.0
2015-05-22,1414.8,1426.47,1408.12,1410.39,412.0
2015-05-25,1405.81,1418.2,1395.32,1402.29,902.0
2015-05-26,1407.32,1410.56,1386.29,1389.82,707.0
2015-05-27,1381.29,1405.6,1381.25,1389.94,949.0
2015-05-28,1386.33,1402.24,1377.05,1401.03,1143.0
2015-05-29,1387.25,1402.2,1387.21,1398.42,863.0
2015-06-01,1402.2,1406.44,1377.89,1384.06,1748.0
2015-06-02,1378.82,1399.72,1377.89,1388.09,1400.0
2015-06-03,1383.77,1393.8,1352.7,1361.69,764.0
2015-06-04,1362.82,1381.21,1356.06,1375.79,398.0
2015-06-05,1364.54,1393.85,1358.83,1382.01,686.0
2015-06-08,1372.85,1382.09,1360.26,1370.46,3266.0
2015-06-09,1372.85,1372.85,1339.27,1349.09,3663.0
2015-06-10,1339.27,1356.02,1326.67,1331.42,3841.0
2015-06-11,1329.19,1344.05,1318.28,1324.87,2351.0
2015-06-12,1330.87,1347.66,1327.51,1338.05,3051.0
2015-06-15,1343.42,1345.1,1330.87,1338.81,24903.0
2015-06-16,1342.63,1360.26,1335.15,1351.91,1024.0
2015-06-17,1360.26,1368.66,1351.86,1363.45,2518.0
2015-06-18,1358.58,1368.66,1356.06,1358.75,1715.0
2015-06-19,1360.26,1406.44,1352.7,1357.74,1461.0
2015-06-22,1360.26,1385.37,1340.95,1371.93,3241.0
2015-06-23,1368.66,1393.85,1351.86,1385.95,11620.0
2015-06-24,1388.72,1389.65,1368.66,1370.13,518.0
2015-06-25,1368.66,1393.76,1357.32,1372.52,1092.0
2015-06-26,1362.82,1385.45,1355.22,1372.27,1847.0
2015-06-29,1360.26,1410.64,1360.26,1367.23,25069.0
2015-06-30,1361.98,1385.41,1358.58,1369.2,1887.0
2015-07-01,1376.93,1385.16,1371.26,1383.69,319.0
2015-07-02,1372.85,1398.88,1372.85,1386.29,71399.0
2015-07-03,1393.72,1406.44,1373.95,1402.83,1263.0
2015-07-06,1388.81,1416.52,1370.34,1401.82,2674.0
2015-07-07,1406.44,1424.07,1398.04,1405.85,1402.0
2015-07-08,1406.4,1426.59,1400.65,1405.98,4717.0
2015-07-09,1398.88,1431.63,1398.88,1413.96,1311.0
2015-07-10,1419.88,1427.43,1402.2,1421.93,1015.0
2015-07-13,1419.54,1428.27,1403.21,1425.29,724.0
2015-07-14,1426.59,1437.51,1403.92,1410.14,1170.0
2015-07-15,1418.2,1426.59,1405.6,1419.08,758.0
2015-07-16,1423.23,1441.71,1421.89,1431.38,1537.0
2015-07-17,1430.37,1446.75,1428.31,1434.02,1855.0
2015-07-20,1440.03,1445.91,1416.52,1422.02,2233.0
2015-07-21,1427.39,1436.67,1414.84,1431.59,1917.0
2015-07-22,1434.82,1456.82,1427.48,1438.1,5054.0
2015-07-23,1444.14,1461.02,1435.83,1446.87,1765.0
2015-07-24,1453.46,1461.02,1447.59,1454.47,1787.0
2015-07-27,1461.02,1463.45,1414.42,1438.31,1651.0
2015-07-28,1443.39,1468.58,1443.39,1460.18,1240.0
2015-07-29,1450.99,1460.18,1443.39,1445.57,2936.0
2015-07-30,1451.78,1458.5,1436.67,1451.57,3726.0
2015-07-31,1435.91,1471.94,1435.91,1461.36,2008.0
2015-08-03,1471.94,1474.45,1445.07,1472.27,7800.0
2015-08-04,1486.75,1486.83,1386.74,1414.46,125416.0
2015-08-05,1429.94,1510.4,1414.2,1498.86,20768.0
2015-08-06,1486.79,1491.16,1434.31,1453.38,3107.0
2015-08-07,1463.18,1463.18,1434.31,1449.75,9113.0
2015-08-10,1434.45,1469.25,1430.82,1441.35,1047.0
2015-08-11,1450.93,1457.93,1422.07,1431.69,1269.0
2015-08-12,1442.01,1457.05,1402.48,1412.58,1310.0
2015-08-13,1417.7,1419.45,1377.55,1384.33,2379.0
2015-08-14,1386.21,1417.7,1379.22,1388.01,1694.0
2015-08-17,1399.33,1409.83,1377.47,1386.3,874.0
2015-08-18,1394.96,1399.33,1379.22,1388.4,50767.0
2015-08-19,1390.59,1394.91,1377.47,1384.77,885.0
2015-08-20,1385.03,1387.09,1303.35,1310.43,8337.0
2015-08-21,1263.9,1324.99,1263.77,1312.57,4008.0
2015-08-24,1301.38,1311.87,1250.65,1270.29,5049.0
