,open,high,low,close,volume
2015-05-15,633.91,671.37,633.91,670.16,371372.0
2015-05-18,664.83,690.72,664.83,687.02,76863.0
2015-05-19,684.81,755.41,684.81,743.98,429075.0
2015-05-20,741.48,766.45,731.2,745.61,168251.0
2015-05-21,740.18,749.11,712.67,720.49,57962.0
2015-05-22,720.35,748.39,715.55,735.19,55420.0
2015-05-25,735.19,770.29,735.19,748.25,189601.0
2015-05-26,739.56,739.56,704.02,707.14,181575.0
2015-05-27,706.9,723.33,686.73,702.68,143232.0
2015-05-28,705.85,716.51,701.14,705.8,73948.0
2015-05-29,707.86,718.43,691.49,703.93,85955.0
2015-06-01,701.14,729.38,700.23,716.36,106327.0
2015-06-02,720.16,722.13,696.34,699.84,23116.0
2015-06-03,699.84,705.94,670.4,675.69,64438.0
2015-06-04,679.1,694.51,669.44,679.1,27605.0
2015-06-05,687.93,714.59,680.01,702.58,58780.0
2015-06-08,706.42,714.59,688.65,699.84,52894.0
2015-06-09,699.22,712.67,689.66,703.73,31593.0
2015-06-10,710.94,710.94,688.65,690.53,66326.0
2015-06-11,700.08,700.13,665.31,671.27,60470.0
2015-06-12,680.97,680.97,658.01,664.16,25645.0
2015-06-15,663.73,690.19,654.65,671.75,163017.0
2015-06-16,677.08,678.09,657.92,666.71,43896.0
2015-06-17,673.86,674.25,660.32,666.51,62358.0
2015-06-18,671.37,689.61,665.65,682.12,112308.0
2015-06-19,687.69,688.65,662.91,665.65,60809.0
2015-06-22,672.13,688.65,664.16,687.12,77861.0
2015-06-23,687.21,720.25,678.81,716.03,128882.0
2015-06-24,718.43,741.48,712.19,726.06,102102.0
2015-06-25,717.71,752.96,716.03,736.58,94447.0
2015-06-26,736.68,737.54,712.67,723.81,22165.0
2015-06-29,715.59,715.59,693.07,699.7,54361.0
2015-06-30,710.17,716.03,698.74,711.13,52228.0
2015-07-01,720.25,722.27,712.47,717.37,32876.0
2015-07-02,719.58,729.95,719.58,723.23,42282.0
2015-07-03,723.23,768.37,723.23,759.54,128546.0
2015-07-06,766.45,801.03,760.93,766.79,192667.0
2015-07-07,775.1,782.78,754.97,758.05,79802.0
2015-07-08,753.97,753.97,724.38,737.73,89118.0
2015-07-09,749.07,749.07,730.82,734.47,20411.0
2015-07-10,743.5,746.28,733.8,737.78,37912.0
2015-07-13,761.65,768.37,731.87,737.25,125220.0
2015-07-14,738.65,747.24,735.72,740.23,65122.0
2015-07-15,740.52,746.28,728.03,729.04,110912.0
2015-07-16,762.79,771.48,751.39,762.88,243766.0
2015-07-17,766.65,770.22,756.03,759.94,64817.0
2015-07-20,769.55,769.55,749.27,756.08,24409.0
2015-07-21,753.13,764.96,739.61,750.86,69500.0
2015-07-22,753.08,762.79,743.48,751.01,56929.0
2015-07-23,762.79,770.51,735.75,739.13,129569.0
2015-07-24,733.82,743.14,730.92,732.37,77407.0
2015-07-27,743.48,743.48,714.9,719.24,41376.0
2015-07-28,732.86,732.86,700.99,704.61,100433.0
2015-07-29,707.51,733.82,701.67,720.4,91745.0
2015-07-30,723.59,728.99,714.51,721.46,112915.0
2015-07-31,724.17,743.38,724.12,733.29,112759.0
2015-08-03,728.99,745.41,724.17,726.53,68802.0
2015-08-04,726.53,740.1,718.66,725.37,46287.0
2015-08-05,732.66,733.72,723.2,725.52,96736.0
2015-08-06,733.68,739.08,726.1,732.95,78473.0
2015-08-07,736.23,748.3,731.89,741.3,114632.0
2015-08-10,704.85,738.65,666.23,719.92,255515.0
2015-08-11,721.27,738.65,716.01,723.05,110688.0
2015-08-12,723.05,723.1,695.2,713.5,118916.0
2015-08-13,720.21,722.38,700.03,708.09,124585.0
2015-08-14,713.01,724.17,713.01,721.75,49366.0
2015-08-17,728.03,728.03,709.83,717.5,22785.0
2015-08-18,724.12,750.24,708.72,732.81,60462.0
2015-08-19,725.32,734.59,721.27,726.24,286766.0
2015-08-20,726.1,729.91,706.98,718.28,48452.0
2015-08-21,719.34,726.48,700.03,718.23,35501.0
2015-08-24,709.68,709.68,667.2,678.93,117901.0
2015-08-25,676.85,680.72,616.99,664.78,118623.0
2015-08-26,666.23,666.23,631.91,637.41,158527.0
2015-08-27,645.91,666.23,639.63,658.89,58656.0
2015-08-28,671.06,690.37,663.34,674.44,69556.0
2015-08-31,674.34,684.53,659.67,670.09,39137.0
2015-09-01,666.23,666.23,645.09,656.19,35288.0
2015-09-02,671.06,676.85,651.75,658.46,33600.0
2015-09-03,700.12,713.54,675.89,688.92,338709.0
2015-09-04,688.25,688.25,651.75,661.4,106731.0
2015-09-07,668.16,672.03,638.42,644.56,31869.0
2015-09-08,656.38,656.38,637.75,642.91,28030.0
2015-09-09,652.71,663.72,647.36,651.07,36720.0
2015-09-10,642.19,656.48,634.47,646.73,19857.0
2015-09-11,656.58,661.4,649.82,657.16,42353.0
2015-09-14,668.07,690.37,657.74,663.53,41965.0
2015-09-15,670.0,670.09,653.44,655.61,21511.0
2015-09-16,664.3,670.96,645.96,648.66,27077.0
2015-09-18,661.4,683.27,643.01,673.67,63003.0
2015-09-21,661.4,669.61,661.4,663.34,15308.0
2015-09-22,665.27,669.13,645.76,649.24,17325.0
2015-09-23,646.92,654.65,642.09,649.33,22590.0
2015-09-24,652.62,660.15,644.99,651.07,11520.0
2015-09-28,651.75,661.4,644.07,648.08,26993.0
2015-09-29,644.94,651.75,637.27,642.96,22819.0
2015-09-30,651.85,656.53,638.23,642.09,44973.0
2015-10-01,649.33,649.33,625.68,628.48,41390.0
2015-10-05,630.6,642.09,628.62,635.62,44289.0
2015-10-06,641.13,654.65,632.44,646.87,126811.0
2015-10-07,647.89,657.54,632.0,635.58,97042.0
2015-10-08,646.82,646.82,627.56,631.86,49094.0
2015-10-09,641.08,643.73,623.02,629.3,50245.0
2015-10-12,637.27,637.27,619.89,622.98,71671.0
2015-10-13,626.64,627.66,613.51,616.94,62076.0
2015-10-14,617.95,627.51,613.13,616.99,48652.0
2015-10-15,617.95,618.77,604.24,611.87,113767.0
2015-10-16,614.09,616.22,605.4,613.51,94766.0
2015-10-19,616.99,627.13,611.2,624.71,81840.0
2015-10-20,625.68,629.49,609.46,613.17,41733.0
2015-10-21,622.2,657.54,616.31,641.32,320667.0
2015-10-23,643.88,649.53,623.75,629.01,82374.0
2015-10-26,630.51,634.37,622.78,625.05,20596.0
2015-10-27,622.78,633.4,618.05,624.33,48382.0
2015-10-28,624.62,628.58,618.15,622.11,16003.0
2015-10-29,625.68,633.4,616.02,618.77,34823.0
2015-10-30,621.19,631.47,613.13,618.82,53521.0
2015-11-02,618.78,619.11,601.49,602.89,79186.0
2015-11-03,604.2,613.13,603.47,610.52,32046.0
2015-11-04,616.99,617.47,604.97,608.73,140250.0
2015-11-05,614.53,621.38,605.55,614.96,38445.0
2015-11-06,616.99,623.75,607.91,609.51,45938.0
2015-11-09,612.93,661.36,598.64,644.56,134873.0
2015-11-10,643.98,660.82,620.61,631.86,108480.0
2015-11-11,643.98,660.82,620.61,631.86,108480.0
2015-11-13,644.02,644.02,628.58,633.07,33596.0
2015-11-16,639.58,641.13,628.58,635.24,25945.0
2015-11-17,637.41,743.09,637.41,709.2,314100.0
2015-11-18,709.68,728.99,678.11,689.45,227942.0
2015-11-19,690.42,717.84,683.81,688.01,62672.0
2015-11-20,692.3,705.82,672.99,678.25,60133.0
2015-11-23,683.61,687.96,668.94,671.98,28111.0
2015-11-24,682.94,700.75,669.32,683.03,64213.0
2015-11-26,681.2,699.93,681.15,685.98,45453.0
2015-11-27,690.61,698.14,682.65,688.58,47636.0
2015-11-30,691.24,708.72,670.34,673.96,83912.0
2015-12-01,676.85,691.05,676.85,684.05,47143.0
2015-12-02,683.61,690.13,673.96,679.12,34471.0
2015-12-03,676.47,689.89,671.06,677.14,28563.0
2015-12-04,671.3,677.09,661.5,665.85,48535.0
2015-12-07,668.16,686.99,664.69,676.66,186085.0
2015-12-08,672.99,676.71,656.67,660.05,107507.0
2015-12-09,655.13,671.06,649.05,659.38,55178.0
2015-12-10,659.38,665.27,650.69,654.4,17443.0
2015-12-11,656.58,671.35,656.58,663.48,21987.0
2015-12-14,648.9,666.62,648.9,658.75,17962.0
2015-12-15,657.54,666.23,656.96,661.31,15157.0
2015-12-16,666.18,668.65,659.47,660.78,11692.0
2015-12-17,666.18,696.21,659.47,671.49,76786.0
2015-12-18,674.0,680.52,655.61,657.83,34262.0
2015-12-21,658.51,671.06,658.51,662.85,36134.0
2015-12-22,668.89,668.89,652.23,656.53,32068.0
2015-12-23,665.07,684.58,658.51,674.78,59284.0
2015-12-24,674.92,680.76,668.21,669.8,30538.0
2015-12-28,669.13,679.75,667.68,674.73,22273.0
2015-12-29,673.96,673.96,661.4,663.43,48807.0
2015-12-30,670.58,674.92,661.74,663.82,19579.0
2015-12-31,664.25,670.82,658.02,664.06,19790.0
2016-01-01,668.16,672.03,661.45,667.54,65608.0
2016-01-04,668.07,674.44,656.58,656.82,41531.0
2016-01-05,657.64,662.18,651.85,655.85,35979.0
2016-01-06,659.96,659.96,647.89,649.29,29250.0
2016-01-07,648.9,653.15,636.25,644.17,150995.0
2016-01-08,652.38,661.21,643.16,657.78,27542.0
2016-01-11,652.76,660.2,639.29,645.13,180945.0
2016-01-12,654.65,655.51,638.67,643.83,40969.0
2016-01-13,643.83,650.78,621.86,638.71,67766.0
2016-01-14,629.54,629.54,617.95,620.27,132094.0
2016-01-15,629.3,629.3,584.3,589.76,36991.0
2016-01-18,592.85,592.95,560.02,569.63,139479.0
2016-01-19,568.71,595.75,564.85,592.8,37358.0
2016-01-20,579.33,579.33,564.9,568.42,42476.0
2016-01-21,570.35,587.06,550.41,552.63,40785.0
2016-01-22,563.88,563.88,548.43,556.45,45260.0
2016-01-25,567.75,574.12,560.26,571.08,23714.0
2016-01-27,574.5,576.34,563.01,566.06,16364.0
2016-01-28,566.06,574.7,564.85,569.58,48126.0
2016-01-29,574.41,574.41,565.57,569.82,35241.0
2016-02-01,573.54,573.54,547.47,565.67,40587.0
2016-02-02,571.61,573.54,556.16,559.49,26802.0
2016-02-03,558.09,558.19,536.85,541.48,44730.0
2016-02-04,558.19,558.19,532.02,539.36,26466.0
2016-02-05,545.49,546.07,536.22,545.01,39340.0
2016-02-08,552.3,577.3,552.3,556.93,64892.0
2016-02-09,550.37,571.46,544.62,555.1,33990.0
2016-02-10,555.14,556.45,545.54,548.92,24616.0
2016-02-11,555.68,555.68,523.96,531.49,57637.0
2016-02-12,538.1,538.1,496.68,512.71,87552.0
2016-02-15,526.23,534.92,512.71,517.68,32660.0
2016-02-16,521.83,528.35,502.14,507.59,20678.0
2016-02-17,515.61,515.61,503.05,506.29,92392.0
2016-02-18,511.55,516.23,505.18,510.54,156556.0
2016-02-19,506.92,511.74,497.26,501.17,28535.0
2016-02-22,509.81,509.81,492.43,493.64,51264.0
2016-02-23,498.23,502.86,490.5,492.82,27912.0
2016-02-24,493.4,497.07,478.91,481.42,29353.0
2016-02-25,482.78,491.08,458.64,463.22,57611.0
2016-02-26,468.29,472.54,451.88,453.57,52137.0
2016-02-29,458.64,458.64,425.28,433.82,90855.0
2016-03-01,440.15,440.24,394.72,406.98,996206.0
2016-03-02,415.09,468.29,415.09,424.7,496639.0
