,open,high,low,close,volume
2015-05-15,5438.4,5586.73,5419.56,5502.99,7630.0
2015-05-18,5587.07,5729.85,5502.8,5696.39,8856.0
2015-05-19,5729.85,5797.42,5651.57,5671.9,12469.0
2015-05-20,5711.01,5740.81,5602.0,5642.99,15230.0
2015-05-21,5636.6,5636.7,5438.4,5492.73,26174.0
2015-05-22,5552.37,5600.95,5463.23,5554.06,6605.0
2015-05-25,5512.76,5601.7,5512.76,5560.65,2896.0
2015-05-26,5592.08,5601.0,5542.46,5579.54,2259.0
2015-05-27,5423.52,5641.56,5423.52,5551.73,5012.0
2015-05-28,5542.31,5592.18,5281.24,5531.9,10063.0
2015-05-29,5590.05,5783.44,5444.5,5658.21,49018.0
2015-06-01,5696.19,5719.93,5552.37,5627.03,2393.0
2015-06-02,5645.62,5650.58,5567.44,5598.33,2234.0
2015-06-03,5542.5,5657.77,5442.71,5474.74,3580.0
2015-06-04,5478.31,5591.09,5305.83,5427.54,5051.0
2015-06-05,5484.95,5492.93,5276.78,5369.83,3435.0
2015-06-08,5364.03,5401.71,5284.76,5359.57,22893.0
2015-06-09,5354.12,5552.42,5304.49,5463.28,2776.0
2015-06-10,5542.46,5552.42,5453.27,5506.91,2496.0
2015-06-11,5552.42,5600.76,5383.91,5417.72,2168.0
2015-06-12,5453.27,5496.9,5205.39,5279.01,12873.0
2015-06-15,5378.91,5497.54,5282.78,5421.49,3452.0
2015-06-16,5394.77,5451.34,5284.71,5313.27,13927.0
2015-06-17,5403.55,5404.09,5329.38,5385.3,2101.0
2015-06-18,5475.88,5475.88,5310.99,5326.31,1473.0
2015-06-19,5358.63,5398.09,5304.54,5345.79,1510.0
2015-06-22,5452.08,5452.08,5305.54,5327.2,13405.0
2015-06-23,5354.12,5453.27,5354.07,5370.93,4204.0
2015-06-24,5452.23,5452.23,5309.5,5337.51,2502.0
2015-06-25,5411.58,5411.58,5310.49,5322.49,1878.0
2015-06-26,5420.5,5420.5,5294.63,5309.16,7526.0
2015-06-29,5284.71,5372.96,5186.26,5321.85,12502.0
2015-06-30,5324.37,5349.16,5282.43,5296.71,5613.0
2015-07-01,5354.12,5383.86,5284.81,5299.19,3297.0
2015-07-02,5373.95,5386.64,5281.74,5303.9,4750.0
2015-07-03,5285.95,5354.17,5285.85,5339.89,18709.0
2015-07-06,5354.12,5448.31,5308.31,5339.45,1667.0
2015-07-07,5354.12,5354.12,5290.66,5321.3,4954.0
2015-07-08,5293.84,5354.17,5287.19,5316.44,1747.0
2015-07-09,5323.18,5349.16,5305.58,5325.81,1308.0
2015-07-10,5344.95,5353.13,5284.71,5337.02,2330.0
2015-07-13,5452.08,5452.08,5354.12,5368.15,2451.0
2015-07-14,5393.73,5410.64,5374.3,5388.87,5392.0
2015-07-15,5403.74,5409.54,5354.12,5365.08,10627.0
2015-07-16,5403.69,5403.74,5311.09,5346.83,3090.0
2015-07-17,5305.29,5380.69,5305.29,5345.54,12242.0
2015-07-20,5431.46,5431.46,5319.62,5343.96,9256.0
2015-07-21,5356.05,5362.99,5329.33,5352.53,4647.0
2015-07-22,5401.71,5401.71,5328.29,5356.8,5539.0
2015-07-23,5364.04,5378.86,5314.46,5334.34,3341.0
2015-07-24,5325.17,5359.28,5325.17,5341.77,1654.0
2015-07-27,5354.18,5368.87,5314.68,5353.34,4638.0
