,open,high,low,close,volume
2015-05-15,84.42,85.91,82.33,83.45,886531.0
2015-05-18,83.96,87.95,80.85,85.72,664436.0
2015-05-19,85.07,88.36,83.59,86.51,862749.0
2015-05-20,86.28,87.58,83.54,84.14,337384.0
2015-05-21,83.63,84.28,81.17,81.69,327969.0
2015-05-22,81.78,82.2,78.58,79.41,366396.0
2015-05-25,78.86,82.94,76.54,78.25,443301.0
2015-05-26,77.74,79.04,77.42,78.3,263476.0
2015-05-27,78.16,78.16,76.3,77.05,162149.0
2015-05-28,77.37,78.02,75.7,76.17,165703.0
2015-05-29,76.63,78.21,75.7,77.19,284869.0
2015-06-01,77.46,77.84,75.14,75.47,169985.0
2015-06-02,75.66,76.54,73.29,73.61,250321.0
2015-06-03,74.36,74.45,67.31,70.88,378061.0
2015-06-04,71.9,72.36,68.79,70.83,373021.0
2015-06-05,72.22,72.55,69.72,70.69,218558.0
2015-06-08,71.02,75.89,71.02,73.89,469305.0
2015-06-09,73.15,73.94,71.43,72.04,199518.0
2015-06-10,71.9,72.64,70.18,70.69,219428.0
2015-06-11,71.25,72.36,68.28,68.88,210106.0
2015-06-12,68.65,71.43,68.33,68.88,102342.0
2015-06-15,68.65,71.2,68.37,69.76,109531.0
2015-06-16,72.08,72.08,69.76,70.65,161297.0
2015-06-17,70.92,72.08,70.51,71.25,131595.0
2015-06-18,71.67,72.23,69.85,71.48,150246.0
2015-06-19,71.81,76.43,71.06,72.84,829499.0
2015-06-22,73.44,75.54,72.93,74.61,305688.0
2015-06-23,73.86,77.27,73.86,76.8,852634.0
2015-06-24,77.5,86.66,76.94,79.42,3568391.0
2015-06-25,79.75,91.14,79.75,86.89,9812838.0
2015-06-26,88.99,99.36,88.99,98.23,9482213.0
2015-06-29,94.31,97.86,92.45,96.18,4932389.0
2015-06-30,96.13,109.25,96.04,107.15,9826394.0
2015-07-01,106.83,111.12,102.81,103.65,4884410.0
2015-07-02,104.3,107.95,103.74,105.38,2063643.0
2015-07-03,106.27,109.16,103.32,106.59,3176344.0
2015-07-06,103.65,117.19,103.37,115.98,5725391.0
2015-07-07,117.33,127.56,113.92,126.06,4719814.0
2015-07-08,125.13,131.29,121.95,122.79,4723617.0
2015-07-09,124.1,125.36,113.22,115.42,2505874.0
2015-07-10,117.1,122.61,114.67,115.74,2092887.0
2015-07-13,116.91,122.23,114.86,121.25,1579144.0
2015-07-14,121.58,123.45,117.38,119.2,1143054.0
2015-07-15,119.95,122.61,118.59,120.74,829208.0
2015-07-16,121.53,125.5,119.85,125.03,1464348.0
2015-07-17,125.69,126.72,120.46,121.3,1513724.0
2015-07-20,121.91,133.39,119.9,133.39,3159746.0
2015-07-21,135.96,136.33,122.14,124.33,5908783.0
2015-07-22,122.37,130.17,122.37,126.58,1244267.0
2015-07-23,127.0,132.04,124.47,129.05,1805652.0
2015-07-24,129.33,129.42,123.35,124.66,836950.0
2015-07-27,124.19,125.36,119.67,120.65,663571.0
2015-07-28,121.49,125.41,121.49,122.37,1319780.0
2015-07-29,123.26,132.13,122.98,128.21,2534045.0
2015-07-30,128.68,130.45,125.6,128.07,803878.0
2015-07-31,128.82,139.14,126.16,136.15,3045135.0
2015-08-03,136.61,140.96,133.91,138.43,1792043.0
2015-08-04,138.57,138.57,134.98,136.24,723223.0
2015-08-05,136.33,143.71,135.59,140.77,1705001.0
2015-08-06,141.28,142.12,134.47,135.21,905844.0
2015-08-07,135.91,140.72,133.53,134.61,1196311.0
2015-08-10,135.21,136.57,127.98,129.14,922370.0
2015-08-11,128.4,131.01,124.24,126.25,792057.0
2015-08-12,126.06,126.25,119.39,122.23,719534.0
2015-08-13,123.21,125.5,111.73,113.18,938813.0
2015-08-14,113.04,121.11,113.04,120.04,671533.0
2015-08-17,120.41,124.66,115.98,122.61,621560.0
2015-08-18,123.54,126.81,122.14,123.77,479672.0
2015-08-19,122.89,124.8,120.18,122.56,559035.0
2015-08-20,121.39,129.52,121.07,121.58,744584.0
2015-08-21,118.5,120.55,115.79,118.31,426667.0
2015-08-24,111.03,113.83,94.78,97.02,1112504.0
2015-08-25,98.94,106.17,88.85,103.0,864451.0
2015-08-26,100.85,109.91,98.66,104.72,919314.0
2015-08-27,107.29,110.75,107.01,108.46,381486.0
2015-08-28,110.19,111.77,105.1,106.69,422262.0
2015-08-31,104.63,109.86,103.37,104.07,349619.0
2015-09-01,103.51,104.44,95.9,98.89,354653.0
2015-09-02,99.26,103.18,98.7,100.01,358136.0
2015-09-03,100.94,104.58,100.94,103.23,331987.0
2015-09-04,102.39,102.39,92.82,93.57,579273.0
2015-09-07,95.2,96.09,84.6,85.49,593058.0
2015-09-08,86.33,87.59,80.77,85.82,784100.0
2015-09-09,87.78,95.06,87.36,92.54,1189831.0
2015-09-10,89.18,99.36,87.45,98.47,1280159.0
2015-09-11,99.82,102.25,96.41,100.57,1071374.0
2015-09-14,101.5,108.04,98.52,107.01,943008.0
2015-09-15,108.6,110.09,107.01,108.32,565324.0
2015-09-16,109.02,109.35,102.67,104.44,319947.0
2015-09-18,106.83,107.85,101.78,103.04,572207.0
2015-09-21,100.38,105.99,100.15,104.54,231727.0
2015-09-22,105.99,108.88,103.93,105.38,663972.0
2015-09-23,101.13,112.94,101.13,109.58,1299215.0
2015-09-24,109.72,111.49,107.39,108.18,410948.0
2015-09-28,108.32,109.63,104.96,105.71,333653.0
2015-09-29,102.62,106.17,100.48,103.37,325925.0
2015-09-30,102.25,108.13,102.25,107.2,393414.0
2015-10-01,108.32,108.88,103.14,105.38,282060.0
2015-10-05,105.05,113.83,105.05,110.42,1038856.0
2015-10-06,111.35,112.71,108.13,109.02,725877.0
2015-10-07,109.21,114.62,107.71,113.36,1149290.0
2015-10-08,113.88,114.81,108.41,111.07,2139381.0
2015-10-09,111.96,113.18,108.79,109.21,455980.0
2015-10-12,109.16,110.84,105.99,107.48,286630.0
2015-10-13,108.23,108.23,104.54,105.94,253795.0
2015-10-14,105.85,108.23,103.65,104.35,422328.0
2015-10-15,105.24,106.36,101.32,102.76,417111.0
2015-10-16,103.6,104.3,101.36,101.97,252842.0
2015-10-19,101.6,106.45,101.6,105.33,434410.0
2015-10-20,105.43,107.25,102.39,103.79,379280.0
2015-10-21,107.67,109.49,104.63,105.43,884683.0
2015-10-23,106.45,106.83,102.25,103.42,289863.0
2015-10-26,104.07,104.3,100.94,101.74,783365.0
2015-10-27,101.64,103.18,98.98,101.88,703227.0
2015-10-28,99.96,103.04,98.98,99.59,386347.0
2015-10-29,100.29,100.57,97.39,98.0,225299.0
2015-10-30,98.52,99.26,93.57,94.78,488999.0
2015-11-02,95.15,95.15,91.61,93.52,243330.0
2015-11-03,94.22,97.67,93.38,96.32,344766.0
2015-11-04,95.53,97.3,93.85,94.55,224939.0
2015-11-05,93.57,94.87,89.88,90.72,233630.0
2015-11-06,90.53,91.65,89.18,89.64,196539.0
2015-11-09,87.78,94.03,84.46,92.96,262656.0
2015-11-10,92.73,96.13,90.67,92.12,261109.0
2015-11-11,92.73,96.13,90.67,92.12,261109.0
2015-11-13,93.15,97.02,92.82,96.6,274310.0
2015-11-16,100.85,104.58,98.7,99.78,1331361.0
2015-11-17,100.48,100.66,96.65,96.97,320503.0
2015-11-18,97.21,97.58,91.51,92.26,468869.0
2015-11-19,93.38,93.89,89.18,89.97,573194.0
2015-11-20,90.58,90.58,87.82,88.06,631900.0
2015-11-23,88.71,92.21,88.71,90.39,966241.0
2015-11-24,89.64,94.03,89.64,93.38,931220.0
2015-11-26,93.8,94.03,90.16,90.86,378207.0
2015-11-27,96.51,103.18,96.46,101.08,5849728.0
2015-11-30,100.94,110.93,100.1,109.67,7660287.0
2015-12-01,110.51,111.49,105.85,107.81,1570498.0
2015-12-02,108.13,108.13,103.65,105.19,1541396.0
2015-12-03,105.43,111.49,103.42,104.91,2316217.0
2015-12-04,103.65,104.44,100.85,101.74,646174.0
2015-12-07,102.72,104.4,102.25,103.46,914376.0
2015-12-08,102.81,104.21,100.85,101.88,559916.0
2015-12-09,101.74,102.3,94.87,97.39,689369.0
2015-12-10,96.18,99.64,95.71,98.84,341505.0
2015-12-11,98.8,101.41,94.69,96.23,1078887.0
2015-12-14,95.48,98.28,94.13,97.44,359138.0
2015-12-15,98.05,98.52,95.71,97.07,267966.0
2015-12-16,98.05,101.22,98.05,99.73,451340.0
2015-12-17,101.27,106.45,100.38,106.03,1154667.0
2015-12-18,105.85,107.48,102.3,103.37,1042454.0
