,open,high,low,close,volume
2015-05-15,40.35,40.92,39.14,39.63,1232070.0
2015-05-18,39.59,40.84,39.0,39.92,2228140.0
2015-05-19,39.86,42.1,39.73,41.84,2988670.0
2015-05-20,42.02,42.02,39.88,40.47,1030490.0
2015-05-21,40.04,41.03,39.63,40.1,2225910.0
2015-05-22,40.1,41.36,40.1,41.06,1145310.0
2015-05-25,40.25,41.58,39.52,41.2,800000.0
2015-05-26,41.35,42.47,40.65,42.03,1717590.0
2015-05-27,41.51,42.24,41.14,41.73,986220.0
2015-05-28,41.95,42.02,40.48,40.79,1240620.0
2015-05-29,41.14,42.28,40.28,41.77,3302490.0
2015-06-01,42.0,42.69,41.7,42.23,1108900.0
2015-06-02,42.52,42.52,40.69,41.12,711960.0
2015-06-03,41.12,41.85,37.96,39.92,1506860.0
2015-06-04,39.9,41.21,39.44,40.31,561490.0
2015-06-05,40.25,40.81,39.67,40.01,381690.0
2015-06-08,40.03,40.62,39.0,39.58,429320.0
2015-06-09,39.51,39.55,37.3,38.57,538300.0
2015-06-10,38.47,40.24,38.47,39.14,410050.0
2015-06-11,39.43,39.72,37.82,38.02,340060.0
2015-06-12,38.03,39.13,34.71,38.13,789810.0
2015-06-15,37.37,39.44,37.37,38.36,464830.0
2015-06-16,38.52,39.96,38.46,39.73,936880.0
2015-06-17,40.03,40.96,39.88,40.4,649300.0
2015-06-18,46.94,48.32,46.69,47.79,1802820.0
2015-06-19,47.59,50.48,47.59,49.12,1986590.0
2015-06-22,50.07,54.14,50.07,53.29,9092960.0
2015-06-23,53.62,53.73,51.0,52.3,2340140.0
2015-06-24,52.04,52.65,50.78,51.69,1730630.0
2015-06-25,51.66,53.23,51.35,51.99,1559790.0
2015-06-26,51.79,54.56,51.79,54.19,3464180.0
2015-06-29,53.4,54.69,51.78,53.53,1503260.0
2015-06-30,54.22,55.62,53.74,55.02,1767100.0
2015-07-01,54.98,55.98,54.03,54.42,935360.0
2015-07-02,54.76,57.09,54.45,56.72,1941380.0
2015-07-03,57.09,57.33,54.78,55.4,1221860.0
2015-07-06,55.02,61.52,54.35,60.51,6293470.0
2015-07-07,60.77,61.52,58.97,59.91,2140150.0
2015-07-08,58.71,62.04,58.71,59.7,2221980.0
2015-07-09,60.32,61.2,59.06,59.82,1348530.0
2015-07-10,60.33,61.2,59.95,61.03,937800.0
2015-07-13,61.54,63.65,60.57,62.95,3418350.0
2015-07-14,63.44,64.53,62.57,62.86,2788930.0
2015-07-15,63.25,64.19,63.01,63.27,1401360.0
2015-07-16,63.68,67.19,63.36,64.73,4691860.0
2015-07-17,65.17,66.85,65.13,66.39,2546340.0
2015-07-20,67.02,68.39,65.14,66.21,8264270.0
2015-07-21,65.48,66.55,62.06,62.65,3701330.0
2015-07-22,62.31,67.39,62.24,66.79,7690030.0
2015-07-23,66.93,70.53,66.54,67.53,8857870.0
2015-07-24,66.76,69.76,66.76,68.84,3891400.0
2015-07-27,69.24,69.76,67.62,68.06,2951040.0
2015-07-28,68.66,72.66,68.66,72.08,5995970.0
2015-07-29,72.67,76.1,72.67,74.18,5817320.0
2015-07-30,74.72,77.03,74.57,76.87,3083460.0
2015-07-31,77.28,77.89,75.23,76.78,3623520.0
2015-08-03,77.19,81.33,77.0,80.8,4162720.0
2015-08-04,80.96,82.42,76.26,79.21,5244320.0
2015-08-05,79.31,80.35,77.63,79.93,2397280.0
2015-08-06,80.27,80.28,74.6,75.11,4118280.0
2015-08-07,75.16,77.24,75.16,75.49,1692230.0
2015-08-10,75.83,78.66,73.35,74.33,2035550.0
2015-08-11,74.93,75.92,72.24,72.58,1518490.0
2015-08-12,72.57,73.56,69.08,69.43,2187120.0
2015-08-13,70.13,72.54,65.56,67.23,3740540.0
2015-08-14,67.92,70.61,61.18,69.05,3977560.0
2015-08-17,69.33,69.99,67.56,68.87,2514440.0
2015-08-18,68.99,72.58,68.47,71.77,3184790.0
2015-08-19,72.45,75.23,71.98,75.02,3530430.0
2015-08-20,74.79,76.17,69.41,72.44,2492000.0
2015-08-21,71.47,73.42,70.86,72.53,2670740.0
2015-08-24,70.17,70.17,58.2,62.34,6335070.0
2015-08-25,63.76,65.04,57.77,63.0,3975360.0
2015-08-26,62.91,65.68,59.54,62.51,2512370.0
2015-08-27,63.94,65.48,62.57,64.89,2052660.0
2015-08-28,65.54,69.27,64.71,65.96,3284650.0
2015-08-31,65.86,66.5,63.69,66.06,1513140.0
2015-09-01,65.3,66.4,63.55,64.88,2215160.0
2015-09-02,65.54,67.87,64.4,65.33,3341010.0
2015-09-03,66.25,66.76,64.73,65.45,1812140.0
2015-09-04,65.05,65.25,60.6,60.89,1899270.0
2015-09-07,61.37,62.71,60.51,61.3,2453590.0
2015-09-08,61.88,63.51,57.0,62.46,4152620.0
2015-09-09,64.18,69.33,63.34,68.63,3860940.0
2015-09-10,67.44,70.87,64.28,70.47,4638210.0
2015-09-11,70.7,74.81,70.7,74.01,4627580.0
2015-09-14,74.45,74.46,71.59,73.65,2157760.0
2015-09-15,74.02,74.38,72.15,73.35,2084210.0
2015-09-16,73.95,75.31,72.1,72.9,1899940.0
2015-09-18,73.94,75.32,73.65,75.13,2517210.0
2015-09-21,74.29,74.29,71.3,72.02,1583320.0
2015-09-22,72.49,73.5,70.49,71.03,1545590.0
2015-09-23,70.45,71.47,69.76,70.17,1087900.0
2015-09-24,70.28,73.78,69.91,72.74,2325940.0
2015-09-28,73.18,73.92,70.78,71.24,1243260.0
2015-09-29,70.61,72.75,69.84,72.48,911450.0
2015-09-30,72.84,73.17,70.97,72.34,1122110.0
2015-10-01,72.32,72.97,70.79,72.62,1319070.0
2015-10-05,72.84,76.77,72.14,76.43,3311980.0
2015-10-06,76.95,78.19,76.44,77.78,2653800.0
2015-10-07,78.21,78.49,73.44,73.79,2421610.0
2015-10-08,74.03,74.84,70.18,70.79,1659500.0
2015-10-09,71.12,72.2,65.22,65.45,4100780.0
2015-10-12,65.87,69.08,65.66,68.58,2826550.0
2015-10-13,68.81,69.24,65.07,66.6,2202120.0
2015-10-14,67.09,68.37,65.99,68.09,1302010.0
2015-10-15,68.64,68.78,65.14,65.48,2542570.0
2015-10-16,66.35,66.39,61.28,62.71,4922060.0
2015-10-19,62.65,66.02,62.31,65.44,2700440.0
2015-10-20,65.63,66.76,60.85,65.04,9830460.0
2015-10-21,65.78,66.76,63.77,64.49,2890720.0
2015-10-23,65.43,65.43,62.22,62.77,2208770.0
2015-10-26,63.01,65.3,62.17,64.63,2425360.0
2015-10-27,64.61,64.61,62.65,63.15,1446110.0
2015-10-28,63.52,65.63,63.08,65.32,1788870.0
2015-10-29,65.55,66.76,65.48,66.06,1467110.0
2015-10-30,71.77,72.16,66.36,67.17,3646120.0
2015-11-02,67.74,68.85,67.31,68.34,1606800.0
2015-11-03,68.95,68.99,66.93,67.33,1494340.0
2015-11-04,68.09,68.69,66.36,66.67,1607420.0
2015-11-05,66.91,67.15,64.58,65.67,1021550.0
2015-11-06,65.88,68.23,63.09,67.22,2236480.0
2015-11-09,66.16,69.13,63.75,68.23,1949360.0
2015-11-10,67.1,69.9,67.1,68.95,1235100.0
2015-11-11,67.1,69.9,67.1,68.95,1235100.0
2015-11-13,69.06,69.63,67.42,69.24,1461930.0
2015-11-16,69.25,70.28,67.76,69.78,512200.0
2015-11-17,69.82,71.14,69.72,70.53,1392300.0
2015-11-18,70.66,72.15,69.94,71.3,935210.0
2015-11-19,71.5,72.76,70.37,72.11,812550.0
2015-11-20,72.38,76.85,71.52,75.74,4100650.0
2015-11-23,76.16,78.04,74.7,75.8,2578850.0
2015-11-24,75.98,78.39,75.52,77.77,1816160.0
2015-11-26,77.75,78.51,76.73,77.67,648910.0
2015-11-27,77.78,78.32,76.74,77.25,712760.0
2015-11-30,77.39,83.6,76.03,82.24,2457630.0
2015-12-01,82.24,83.8,79.34,80.93,2340640.0
2015-12-02,81.53,83.35,80.47,81.17,1576120.0
2015-12-03,80.1,82.71,79.67,82.3,1056570.0
2015-12-04,82.24,82.24,80.01,81.47,1187890.0
2015-12-07,81.17,81.73,79.44,80.08,438390.0
2015-12-08,79.44,80.38,79.44,79.46,683380.0
2015-12-09,79.44,80.38,74.3,74.86,1738530.0
2015-12-10,75.5,76.17,73.83,74.97,799300.0
2015-12-11,75.37,76.39,73.83,74.23,746230.0
2015-12-14,72.91,75.24,72.55,74.24,968100.0
2015-12-15,74.71,74.99,73.93,74.59,627980.0
2015-12-16,75.14,75.24,73.83,73.86,993490.0
2015-12-17,74.05,79.85,74.05,79.25,1691250.0
2015-12-18,78.69,79.63,77.57,78.79,749260.0
2015-12-21,78.14,80.84,77.95,80.31,708600.0
2015-12-22,78.69,82.24,78.69,81.6,1570210.0
2015-12-23,81.78,83.91,79.72,83.28,3658240.0
2015-12-24,83.27,83.55,81.78,82.5,718080.0
2015-12-28,82.5,83.09,81.78,82.68,1060430.0
2015-12-29,82.73,83.55,82.24,82.89,962470.0
2015-12-30,82.39,87.62,82.39,85.66,2620140.0
2015-12-31,86.26,86.54,85.05,85.32,1154580.0
2016-01-01,85.43,86.45,84.58,85.14,543920.0
2016-01-04,84.4,84.88,80.38,82.46,1184760.0
2016-01-05,82.44,83.82,81.45,82.14,2409860.0
2016-01-06,82.06,83.36,79.25,79.72,3309700.0
2016-01-07,78.51,81.31,78.15,79.76,1260820.0
2016-01-08,80.47,82.33,80.1,81.53,3919650.0
2016-01-11,80.94,82.71,79.91,81.67,2193740.0
2016-01-12,82.13,82.71,80.75,82.31,2260140.0
2016-01-13,82.24,82.43,76.17,80.23,2557670.0
2016-01-14,78.51,80.56,77.01,79.46,731380.0
2016-01-15,79.45,79.9,76.28,77.4,784360.0
2016-01-18,78.41,78.41,70.14,71.9,2359640.0
2016-01-19,71.33,72.97,70.1,70.51,1439730.0
2016-01-20,69.52,73.37,66.83,72.29,2228020.0
2016-01-21,72.9,77.99,72.76,77.14,1654890.0
2016-01-22,77.1,77.84,75.94,76.28,1697470.0
2016-01-25,76.91,80.22,76.84,77.68,1614150.0
2016-01-27,77.57,79.53,76.54,78.65,2132270.0
2016-01-28,77.76,81.68,76.65,77.99,1165360.0
2016-01-29,78.97,79.67,76.84,77.64,908170.0
2016-02-01,78.32,79.44,77.67,78.9,966910.0
2016-02-02,79.35,83.83,78.89,80.63,6662520.0
2016-02-03,79.99,83.18,79.06,82.74,2350790.0
2016-02-04,82.99,84.09,81.96,82.5,1565230.0
2016-02-05,82.78,85.47,79.92,84.44,2878540.0
2016-02-08,84.7,85.52,83.27,83.76,468620.0
2016-02-09,83.45,85.46,80.0,84.51,710470.0
2016-02-10,83.83,84.58,82.9,84.13,2879000.0
2016-02-11,84.11,84.48,78.04,80.27,1219730.0
2016-02-12,82.06,82.53,74.96,79.03,589040.0
2016-02-15,79.44,81.51,79.44,80.4,736000.0
2016-02-16,80.38,81.78,78.97,81.17,381020.0
2016-02-17,81.59,83.32,78.7,81.26,1519340.0
2016-02-18,81.78,82.62,80.48,81.31,535870.0
2016-02-19,82.24,82.38,80.38,81.06,585250.0
2016-02-22,81.08,82.06,80.47,81.42,1298290.0
2016-02-23,80.94,82.24,80.83,81.47,835080.0
2016-02-24,82.61,82.61,80.84,81.56,293240.0
2016-02-25,82.24,82.24,77.35,78.4,474530.0
2016-02-26,79.44,79.9,72.67,77.93,1123630.0
2016-02-29,78.51,78.65,74.57,75.88,759530.0
2016-03-01,76.08,80.26,76.08,79.43,1848710.0
2016-03-02,80.62,81.12,79.92,80.39,611660.0
2016-03-03,81.39,81.39,78.52,78.98,1428320.0
2016-03-04,80.2,80.2,79.06,79.39,754400.0
2016-03-08,80.38,80.47,78.32,79.51,1106900.0
2016-03-09,80.28,83.09,79.54,82.18,1275210.0
2016-03-10,82.99,84.3,82.02,84.05,1830470.0
2016-03-11,84.86,91.12,83.54,90.97,5323380.0
2016-03-14,91.68,94.21,91.39,92.88,3634790.0
2016-03-15,93.15,93.15,89.35,89.82,3159710.0
2016-03-16,89.68,90.34,86.92,87.77,2651730.0
2016-03-17,88.23,91.5,87.1,87.65,1461560.0
2016-03-18,87.95,90.1,85.98,87.82,6055660.0
2016-03-21,87.91,91.65,86.04,91.32,734310.0
2016-03-22,91.18,92.4,88.89,91.28,362664.0
2016-03-23,91.74,104.18,90.71,101.19,2334421.0
2016-03-28,100.81,100.81,92.58,93.8,1645048.0
2016-03-29,94.36,94.36,87.91,88.84,1695484.0
2016-03-30,89.73,94.88,89.45,93.57,1009601.0
2016-03-31,93.57,94.46,91.74,92.54,440892.0
2016-04-01,93.24,93.52,91.46,92.26,244762.0
2016-04-04,92.3,93.38,88.84,89.83,351774.0
2016-04-05,90.25,91.51,86.13,87.16,521642.0
2016-04-06,86.97,88.8,81.88,84.07,1832357.0
2016-04-07,85.1,85.1,82.39,83.79,532881.0
2016-04-08,83.33,88.84,82.48,86.27,1240028.0
2016-04-11,86.88,88.05,83.28,85.24,669415.0
2016-04-12,85.71,85.71,82.11,82.34,1071175.0
2016-04-13,83.23,87.35,82.58,84.92,1853887.0
2016-04-18,85.34,89.78,84.21,89.17,1177693.0
2016-04-20,91.37,93.99,91.18,92.44,3761825.0
2016-04-21,93.24,93.99,92.12,93.15,1540055.0
2016-04-22,92.96,93.85,91.18,92.91,1281592.0
2016-04-25,93.33,97.96,91.88,92.72,5650658.0
2016-04-26,92.58,94.83,88.98,93.52,1880090.0
2016-04-27,92.87,94.36,91.18,93.75,898280.0
2016-04-28,93.52,95.2,91.7,92.3,768902.0
2016-04-29,91.74,93.99,91.09,93.47,1254598.0
2016-05-02,93.99,95.11,91.65,93.1,1118876.0
2016-05-03,92.96,94.46,91.7,92.49,526563.0
2016-05-04,91.88,92.58,88.28,88.94,730136.0
2016-05-05,89.36,90.71,85.8,86.65,496333.0
2016-05-06,86.04,86.97,84.87,86.18,436816.0
2016-05-09,86.97,89.22,86.97,87.49,387293.0
2016-05-10,88.28,88.28,86.79,87.53,1128329.0
2016-05-11,86.51,90.62,86.32,89.83,1122042.0
2016-05-12,89.55,93.24,89.55,91.98,522750.0
2016-05-13,91.37,93.1,90.25,90.53,340563.0
2016-05-16,90.25,91.32,88.56,88.94,567002.0
2016-05-17,89.87,92.58,88.84,91.7,378152.0
2016-05-18,91.37,97.73,90.71,93.89,2640515.0
2016-05-19,94.27,96.51,93.15,93.57,1392980.0
2016-05-20,93.57,94.13,92.58,93.38,1435427.0
2016-05-23,93.89,95.67,92.58,93.47,1451450.0
2016-05-24,93.89,94.46,92.58,93.8,565454.0
2016-05-25,94.27,96.33,93.8,94.78,395333.0
2016-05-26,94.46,95.39,93.52,94.03,261770.0
2016-05-27,93.61,95.3,93.52,93.57,248602.0
2016-05-30,93.99,94.92,93.52,93.66,165876.0
2016-05-31,94.08,98.15,92.21,97.49,1499227.0
2016-06-01,98.38,100.91,98.29,98.99,1413040.0
2016-06-02,99.13,100.53,96.79,100.07,503195.0
2016-06-03,100.44,101.94,98.66,101.0,826373.0
2016-06-06,101.38,101.75,99.13,100.3,332197.0
2016-06-07,99.79,102.31,99.79,101.0,527004.0
2016-06-08,101.47,101.47,97.96,98.8,492347.0
2016-06-09,99.69,102.78,99.51,100.49,924328.0
2016-06-10,101.66,106.38,101.42,105.12,1657739.0
2016-06-13,105.68,108.02,104.23,106.29,875032.0
2016-06-14,106.61,112.13,106.61,109.89,1110848.0
2016-06-15,110.63,110.87,105.21,105.86,1756394.0
2016-06-16,105.63,105.63,99.65,101.33,1653925.0
2016-06-17,103.01,105.21,102.22,102.68,2138272.0
2016-06-20,102.12,102.12,99.13,99.69,549631.0
2016-06-21,100.53,102.87,98.2,101.89,1901996.0
2016-06-22,104.14,104.7,98.9,99.36,1775926.0
2016-06-23,98.94,100.81,98.38,99.04,271094.0
