,open,high,low,close,volume
2015-05-15,672.03,696.19,667.79,680.71,58961.0
2015-05-18,685.44,707.14,685.39,703.49,83346.0
2015-05-19,709.45,716.06,703.49,708.67,47851.0
2015-05-20,715.96,739.53,715.96,725.97,129181.0
2015-05-21,770.2,771.09,736.67,743.48,446737.0
2015-05-22,744.56,744.56,721.93,727.4,65835.0
2015-05-25,724.79,731.69,710.0,715.82,33020.0
2015-05-26,719.96,724.84,715.22,719.02,25618.0
2015-05-27,719.91,759.36,714.04,754.92,153861.0
2015-05-28,757.09,757.38,735.29,742.54,35475.0
2015-05-29,739.29,756.4,730.76,747.03,92388.0
2015-06-01,751.47,751.47,729.87,737.71,28103.0
2015-06-02,750.58,764.19,712.27,718.33,133486.0
2015-06-03,717.94,719.42,697.23,704.08,39160.0
2015-06-04,705.12,712.02,700.23,705.51,44731.0
2015-06-05,709.7,723.75,702.16,705.36,41971.0
2015-06-08,709.95,715.82,686.38,697.62,21199.0
2015-06-09,695.89,695.89,678.78,688.79,26965.0
2015-06-10,694.91,708.86,686.87,690.62,27244.0
2015-06-11,691.95,707.33,690.32,691.9,44627.0
2015-06-12,690.37,702.95,681.15,695.99,14680.0
2015-06-15,695.99,717.39,686.43,694.32,22879.0
2015-06-16,696.83,705.16,688.35,697.47,19817.0
2015-06-17,708.76,729.77,698.16,724.64,127739.0
2015-06-18,733.62,743.48,728.83,732.83,65986.0
2015-06-19,733.67,733.67,715.03,718.68,17135.0
2015-06-22,719.91,739.63,719.91,735.83,27299.0
2015-06-23,736.82,749.49,729.08,731.79,40536.0
2015-06-24,731.59,772.18,727.8,750.04,80511.0
2015-06-25,751.47,759.26,731.74,734.16,20441.0
2015-06-26,738.99,745.45,734.7,739.63,15665.0
2015-06-29,737.66,737.66,710.05,723.71,18639.0
2015-06-30,728.34,740.57,721.14,733.47,14171.0
2015-07-01,731.74,751.52,731.69,737.46,43758.0
2015-07-02,742.84,746.49,730.76,739.78,19132.0
2015-07-03,739.58,749.49,726.47,731.94,12621.0
2015-07-06,721.39,735.69,717.89,726.07,17216.0
2015-07-07,717.89,743.33,717.89,727.5,19294.0
2015-07-08,725.83,730.76,700.43,706.3,21714.0
2015-07-09,715.96,719.91,700.18,702.06,22895.0
2015-07-10,717.74,717.74,691.51,707.04,20399.0
2015-07-13,717.94,717.99,700.48,712.12,29879.0
2015-07-14,718.82,724.64,707.04,715.08,15537.0
2015-07-15,718.87,724.59,698.26,712.46,32179.0
2015-07-16,718.82,723.85,709.06,720.3,33517.0
2015-07-17,723.85,817.34,721.09,797.52,373946.0
2015-07-20,810.04,813.59,782.04,789.58,133655.0
2015-07-21,793.87,835.29,720.01,736.53,898480.0
2015-07-22,744.56,754.33,725.58,737.36,99171.0
2015-07-23,736.67,750.28,733.22,737.76,45633.0
2015-07-24,741.55,741.55,714.98,720.06,34978.0
