,open,high,low,close,volume
2015-05-15,295.17,295.17,288.76,290.25,5740256.0
2015-05-18,290.35,302.83,289.24,300.33,25433973.0
2015-05-19,301.68,308.72,300.95,304.67,4224236.0
2015-05-20,306.55,308.76,302.35,306.98,1876828.0
2015-05-21,306.55,311.9,300.86,305.92,11374396.0
2015-05-22,308.43,311.08,305.73,307.99,5925105.0
2015-05-25,307.46,309.97,303.9,308.57,1695374.0
2015-05-26,308.81,309.44,304.91,307.85,1601229.0
2015-05-27,306.59,310.69,304.81,308.52,2641075.0
2015-05-28,310.84,310.84,306.06,306.74,5902924.0
2015-05-29,309.1,314.31,306.64,312.14,5514743.0
2015-06-01,311.42,311.9,307.56,308.76,2099359.0
2015-06-02,307.22,318.16,307.22,315.71,3331117.0
2015-06-03,317.1,320.53,306.59,311.42,2959167.0
2015-06-04,311.42,315.85,308.52,313.68,1813821.0
2015-06-05,312.38,325.88,309.2,324.53,3111895.0
2015-06-08,325.88,329.64,319.42,320.09,3114153.0
2015-06-09,320.09,322.94,313.34,316.14,1314735.0
2015-06-10,318.16,324.82,314.79,322.41,1276379.0
2015-06-11,325.83,327.9,318.36,321.01,1750395.0
2015-06-12,323.71,324.05,318.79,321.73,779489.0
2015-06-15,322.02,327.81,319.37,327.08,1515607.0
2015-06-16,326.12,334.55,322.6,332.63,2013937.0
2015-06-17,334.36,340.1,329.3,338.51,2795132.0
2015-06-18,336.15,341.06,332.87,334.55,1354886.0
2015-06-19,335.33,336.72,326.84,327.9,1234574.0
2015-06-22,331.28,334.51,326.65,332.96,939170.0
2015-06-23,332.96,334.75,326.7,333.16,1240791.0
2015-06-24,333.49,346.08,332.34,342.46,3883808.0
2015-06-25,342.27,349.26,339.38,345.69,2412267.0
2015-06-26,345.16,347.96,341.3,346.37,1129200.0
2015-06-29,333.59,344.92,333.59,343.38,1214425.0
2015-06-30,341.88,356.15,341.88,354.71,3053780.0
2015-07-01,354.71,355.72,349.06,350.75,1675326.0
2015-07-02,350.8,358.08,350.75,355.86,1783180.0
2015-07-03,354.8,357.5,354.03,356.15,771577.0
2015-07-06,353.84,361.21,353.5,360.3,2028822.0
2015-07-07,359.67,361.36,352.01,354.42,2027667.0
2015-07-08,351.91,354.8,341.64,343.09,2585634.0
2015-07-09,347.89,347.89,339.59,342.51,1249057.0
2015-07-10,341.34,353.18,341.34,350.41,1772441.0
2015-07-13,353.86,368.7,349.69,362.64,1779739.0
2015-07-14,363.8,364.34,356.33,363.37,1475541.0
2015-07-15,364.48,374.43,362.15,364.43,5729299.0
2015-07-16,368.17,371.56,364.87,370.84,1989486.0
2015-07-17,372.83,373.55,362.64,366.08,1389759.0
2015-07-20,365.31,370.06,359.78,367.39,1653937.0
2015-07-21,366.08,377.43,366.08,375.69,3689418.0
2015-07-22,375.49,396.06,375.49,395.14,3606087.0
2015-07-23,396.84,397.13,381.95,383.5,2771748.0
2015-07-24,387.04,390.82,376.46,379.42,2368111.0
2015-07-27,382.29,388.2,378.26,381.32,1457508.0
2015-07-28,381.12,388.69,377.34,380.44,2306518.0
2015-07-29,382.0,389.81,380.83,388.59,1611745.0
2015-07-30,392.43,392.43,383.74,387.82,3066839.0
2015-07-31,389.08,390.34,382.77,386.94,1641685.0
2015-08-03,386.99,390.24,384.71,386.85,667286.0
2015-08-04,391.02,393.25,387.19,391.21,2609875.0
2015-08-05,396.26,404.46,394.41,402.18,3415385.0
2015-08-06,402.18,403.63,395.58,402.71,1906686.0
2015-08-07,402.9,405.28,394.71,398.2,1647443.0
2015-08-10,397.81,403.0,393.74,397.42,882985.0
2015-08-11,396.84,405.77,396.84,402.47,982625.0
2015-08-12,400.72,406.3,387.77,389.66,1356894.0
2015-08-13,389.66,398.78,387.14,388.88,1447259.0
2015-08-14,386.17,409.16,386.17,407.32,1674969.0
2015-08-17,402.66,405.72,394.12,396.94,1124164.0
2015-08-18,397.13,400.04,392.09,394.27,1693445.0
2015-08-19,395.05,396.65,387.14,393.74,1172957.0
2015-08-20,392.96,394.37,379.38,382.77,1721757.0
2015-08-21,379.38,379.52,366.37,371.81,3088270.0
2015-08-24,358.22,362.74,336.39,348.04,3059361.0
2015-08-25,354.15,360.99,344.83,354.58,4419332.0
2015-08-26,347.89,366.42,347.89,357.88,3074553.0
2015-08-27,361.52,363.85,351.92,359.97,4254812.0
2015-08-28,366.37,381.22,364.05,376.27,3144551.0
2015-08-31,376.46,377.43,367.73,373.36,2007786.0
2015-09-01,368.7,370.21,355.12,360.6,2247154.0
2015-09-02,362.59,365.65,349.3,350.27,3146977.0
2015-09-03,352.98,360.89,349.64,357.01,1944303.0
2015-09-04,358.47,362.88,348.96,349.69,3507953.0
2015-09-07,349.69,354.78,347.94,349.69,1509043.0
2015-09-08,350.41,361.33,347.21,358.9,1818377.0
2015-09-09,363.37,375.11,363.27,373.6,1855339.0
2015-09-10,371.42,383.64,365.11,380.44,2049659.0
2015-09-11,382.29,387.19,376.56,380.35,2001623.0
2015-09-14,381.41,385.1,380.1,383.45,1197568.0
2015-09-15,384.23,386.17,380.83,382.29,1425312.0
2015-09-16,382.72,386.26,382.67,384.13,1201798.0
2015-09-18,387.43,394.71,383.6,386.8,2423414.0
2015-09-21,384.91,391.21,384.08,389.76,900067.0
2015-09-22,391.02,391.5,374.09,378.26,1152813.0
2015-09-23,371.61,378.6,366.76,375.83,1410076.0
2015-09-24,375.83,388.01,372.63,382.82,1966984.0
2015-09-28,385.97,385.97,371.37,372.24,763642.0
