,open,high,low,close,volume
2015-05-15,104.1,104.1,102.22,102.49,30175.0
2015-05-18,104.06,104.8,100.56,104.26,76715.0
2015-05-19,103.93,105.84,101.81,103.45,61890.0
2015-05-20,104.97,106.13,103.38,105.17,108260.0
2015-05-21,105.84,108.73,103.55,108.07,168630.0
2015-05-22,108.73,111.64,107.58,109.38,239010.0
2015-05-25,111.14,111.14,105.87,106.6,53070.0
2015-05-26,108.0,109.03,104.49,107.75,79000.0
2015-05-27,107.75,108.53,105.84,107.62,36290.0
2015-05-28,107.58,108.73,105.84,106.84,28590.0
2015-05-29,107.58,115.27,106.13,112.24,719760.0
2015-06-01,109.18,114.98,109.18,110.28,124695.0
2015-06-02,109.62,110.19,106.14,107.22,59680.0
2015-06-03,108.74,108.74,100.77,103.79,116355.0
2015-06-04,103.93,105.44,101.64,102.46,34920.0
2015-06-05,106.13,106.13,102.22,103.73,40540.0
2015-06-08,106.11,106.11,101.51,102.12,43270.0
2015-06-09,104.25,104.25,99.32,99.75,52765.0
2015-06-10,102.43,102.43,98.59,98.84,76800.0
2015-06-11,98.89,101.2,95.84,96.21,78865.0
2015-06-12,98.37,98.37,94.4,95.01,63675.0
2015-06-15,95.01,98.52,95.01,96.77,95395.0
2015-06-16,98.01,98.01,93.23,94.13,110120.0
2015-06-17,94.93,95.65,92.07,93.54,144305.0
2015-06-18,95.24,97.43,93.54,96.0,111945.0
2015-06-19,96.56,98.58,94.56,97.23,99700.0
2015-06-22,98.87,99.9,95.87,99.27,140820.0
2015-06-23,100.04,100.04,97.32,99.38,80620.0
2015-06-24,100.04,102.22,97.79,99.31,870600.0
2015-06-25,99.17,99.46,97.0,97.48,62860.0
2015-06-26,97.13,100.04,95.61,97.69,228455.0
2015-06-29,95.87,95.87,92.94,95.47,56470.0
2015-06-30,95.21,97.14,95.01,95.4,47665.0
2015-07-01,95.9,98.27,95.79,97.54,81825.0
2015-07-02,98.0,100.04,97.15,99.51,74685.0
2015-07-03,104.39,104.39,102.43,103.04,45160.0
2015-07-06,104.82,104.82,101.24,102.65,33645.0
2015-07-07,104.1,104.79,101.79,102.24,109230.0
2015-07-08,101.97,102.7,100.91,101.34,42485.0
2015-07-09,101.57,102.17,99.69,100.0,39000.0
2015-07-10,101.05,101.21,100.45,100.91,26850.0
2015-07-13,101.21,104.86,100.61,103.15,117855.0
2015-07-14,103.78,105.47,103.49,104.76,94575.0
2015-07-15,105.9,118.67,103.57,113.25,4372025.0
2015-07-16,114.15,119.91,110.8,116.32,2245495.0
2015-07-17,116.89,118.36,114.91,115.56,325460.0
2015-07-20,116.01,116.58,115.31,115.94,151790.0
2015-07-21,115.94,121.75,115.94,118.49,529505.0
2015-07-22,119.28,138.2,117.98,132.44,3257475.0
2015-07-23,132.97,133.6,127.33,127.85,432215.0
2015-07-24,128.61,133.48,128.15,129.31,395945.0
2015-07-27,129.06,130.51,125.4,126.63,149265.0
2015-07-28,127.85,137.59,127.24,133.71,1253835.0
2015-07-29,134.24,134.24,130.75,131.76,176090.0
2015-07-30,132.99,148.38,132.9,144.88,1714410.0
2015-07-31,145.2,147.63,141.94,145.39,827285.0
2015-08-03,145.95,153.41,144.44,149.04,597645.0
2015-08-04,150.07,151.28,144.59,147.81,370205.0
2015-08-05,148.33,153.72,144.91,147.05,456835.0
2015-08-06,147.72,150.67,144.6,145.62,220890.0
2015-08-07,144.71,148.39,142.91,143.86,165575.0
2015-08-10,143.98,146.87,137.97,139.66,144865.0
2015-08-11,139.53,140.78,135.91,136.85,217560.0
2015-08-12,136.98,136.98,127.56,128.71,259970.0
2015-08-13,130.05,144.59,130.05,139.05,827080.0
2015-08-14,141.09,141.54,137.27,139.21,235220.0
2015-08-17,140.01,142.38,137.43,139.52,156040.0
2015-08-18,140.48,142.91,139.72,141.45,166315.0
2015-08-19,142.14,144.59,139.26,140.04,193015.0
2015-08-20,140.13,141.09,133.93,134.75,154295.0
2015-08-21,133.19,140.93,131.65,138.08,226930.0
2015-08-24,132.41,134.04,113.42,116.37,478690.0
2015-08-25,117.8,126.32,114.91,120.04,297415.0
2015-08-26,120.94,123.43,114.19,118.06,217835.0
2015-08-27,120.39,130.59,120.39,127.37,641035.0
2015-08-28,129.18,132.26,125.91,127.02,250630.0
2015-08-31,127.02,130.28,126.36,127.31,125795.0
2015-09-01,124.8,127.38,122.98,123.67,129340.0
2015-09-02,124.13,127.08,122.98,123.93,116115.0
2015-09-03,125.55,127.35,123.33,126.8,91840.0
2015-09-04,127.22,127.83,120.47,120.78,206150.0
2015-09-07,120.27,122.52,117.24,118.81,109540.0
2015-09-08,119.47,121.57,115.09,119.31,169900.0
2015-09-09,121.44,123.43,120.59,121.23,147105.0
2015-09-10,120.31,121.0,117.19,120.78,127945.0
2015-09-11,121.76,127.66,121.75,126.32,244270.0
2015-09-14,126.69,130.28,125.11,128.55,160295.0
2015-09-15,128.61,129.82,126.67,128.76,129755.0
2015-09-16,130.89,132.41,124.08,125.24,135010.0
2015-09-18,125.47,127.53,120.47,122.44,167485.0
2015-09-21,121.91,125.18,120.24,122.58,160520.0
2015-09-22,123.66,123.81,119.82,120.62,232795.0
2015-09-23,120.53,122.82,118.72,121.14,62260.0
2015-09-24,121.14,122.96,119.47,120.32,91200.0
2015-09-28,120.69,123.28,119.47,120.19,71395.0
2015-09-29,120.07,121.6,115.91,116.76,360405.0
2015-09-30,117.34,124.03,117.34,122.97,384790.0
2015-10-01,122.84,127.08,122.82,125.75,278820.0
2015-10-05,127.59,128.52,122.37,123.51,198350.0
2015-10-06,124.7,126.31,122.99,124.1,128190.0
2015-10-07,123.89,125.79,122.38,123.08,110040.0
2015-10-08,123.28,126.93,123.28,125.71,197235.0
2015-10-09,125.94,132.4,125.94,127.68,1135465.0
