,open,high,low,close,volume
2015-05-15,928.67,936.31,917.25,927.91,27675.0
2015-05-18,940.14,940.14,922.03,928.24,9212.0
2015-05-19,936.27,949.69,924.28,933.49,9007.0
2015-05-20,931.54,941.0,921.98,926.66,18143.0
2015-05-21,929.15,936.31,922.94,926.33,15950.0
2015-05-22,924.85,931.54,924.85,926.9,9072.0
2015-05-25,927.19,938.22,912.43,927.14,25754.0
2015-05-26,911.47,972.62,911.47,944.24,18404.0
2015-05-27,946.87,969.75,929.24,932.92,21637.0
2015-05-28,923.89,950.6,922.99,928.77,4987.0
2015-05-29,934.21,954.47,926.76,950.12,12590.0
2015-06-01,950.12,952.51,936.31,944.29,5038.0
2015-06-02,940.61,944.91,913.48,925.9,4257.0
2015-06-03,927.0,929.63,890.45,892.17,10562.0
2015-06-04,894.18,900.87,869.96,881.52,7953.0
2015-06-05,871.44,896.23,870.48,872.87,6203.0
2015-06-08,873.35,881.85,840.77,844.74,7375.0
2015-06-09,840.15,858.83,821.9,853.48,11660.0
2015-06-10,854.05,859.88,831.31,837.28,4897.0
2015-06-11,841.73,850.33,821.66,822.76,5553.0
2015-06-12,833.27,926.76,814.97,884.1,267422.0
2015-06-15,886.15,889.98,860.84,864.13,14439.0
2015-06-16,867.24,877.08,851.28,865.71,11660.0
2015-06-17,866.62,874.21,857.97,865.61,10661.0
2015-06-18,871.2,887.49,861.79,867.86,13687.0
2015-06-19,870.39,889.5,870.39,877.46,14325.0
2015-06-22,877.51,890.45,877.46,885.68,4837.0
2015-06-23,888.49,914.34,881.85,892.6,16369.0
2015-06-24,892.46,930.58,877.75,888.54,68283.0
2015-06-25,896.9,902.68,874.21,880.76,10043.0
2015-06-26,891.41,892.84,874.21,877.03,4165.0
2015-06-29,873.92,873.92,845.74,858.21,9674.0
2015-06-30,860.12,871.34,849.13,856.82,9613.0
2015-07-01,866.57,883.77,851.38,861.27,23824.0
2015-07-02,877.08,878.03,861.03,867.57,9455.0
2015-07-03,873.26,874.21,860.84,862.98,4549.0
2015-07-06,857.92,871.39,850.33,865.9,8247.0
